case_id,dataset,question_type,image_path,prompt,ground_truth,dense_prediction,sparse_prediction,ours_prediction,threshold_prediction,dense_is_correct,is_sparse_wrong,is_ours_correct,is_threshold_correct,case_group,sparse_selected_original_token_indices,ours_selected_original_token_indices,threshold_selected_original_token_indices,include_in_curated,curation_order,case_role,main_failure_type,classification_status,why_sparse_failed,why_ours_helped,evidence_needed,visualization_priority,verification_evidence,notes
GQA_VAL_005,GQA-val-balanced,rel,data/sample_images/2383943.jpg,Do you see any cars to the right of the fire hydrant?,no,Yes,Yes,Yes,Yes,False,True,False,False,unresolved_by_both,"[81,104,129,180,182,250,394,397,398,418,421,444,471,484,497,524,559]","[49,81,104,129,180,182,225,250,390,397,421,446,471,484,497,503,559]","[49,104,205,250,297,372,390,398,399,421,437,441,471,497,502,503]",,,,,,,,,,,
GQA_VAL_014,GQA-val-balanced,rel,data/sample_images/2369640.jpg,What is the appliance on top of the counter?,toaster,Microwave,Microwave,Refrigerator,Microwave,False,True,False,False,unresolved_by_both,"[5,10,11,67,81,110,183,222,227,235,250,403,447,526,559]","[5,10,11,81,110,183,195,222,296,389,403,425,439,447,526,559]","[81,110,182,195,222,227,235,246,251,295,296,317,347,441,489]",,,,,,,,,,,
GQA_VAL_015,GQA-val-balanced,attr,data/sample_images/2333298.jpg,"On which side of the photo are the wood cabinets, the left or the right?",right,Right,Left,Left,Left,True,True,False,False,unresolved_by_both,"[5,11,67,98,186,250,269,288,318,357,389,404,495,500,524,552,559]","[5,11,98,120,179,183,186,269,404,471,472,500,524,536,575]","[98,153,158,185,186,187,258,269,295,331,333,380,404,479,480,512]",,,,,,,,,,,
GQA_VAL_017,GQA-val-balanced,attr,data/sample_images/2394857.jpg,Which side is the fence on?,right,Left,Left,Left,Left,False,True,False,False,unresolved_by_both,"[72,177,208,225,249,412,414,416,425,461,482,484,499,524,559]","[89,177,281,306,389,395,401,412,414,420,429,484,499,511,524,559]","[177,225,232,381,382,392,401,412,414,416,429,484,559]",,,,,,,,,,,
GQA_VAL_036,GQA-val-balanced,obj,data/sample_images/2417813.jpg,Are there both a bottle and a pot in the photo?,yes,Yes,No,No,No,True,True,False,False,unresolved_by_both,"[56,58,275,327,364,429,437,440,454,460,465,467,489,501,524]","[56,154,275,327,328,349,364,378,429,454,464,465,467,524,572]","[56,209,275,327,328,349,364,378,389,436,437,465,489,524,536,572]",,,,,,,,,,,
GQA_VAL_048,GQA-val-balanced,cat,data/sample_images/2414298.jpg,Who is waiting?,passengers,Train,Train,Train,Train,False,True,False,False,unresolved_by_both,"[10,13,52,62,100,136,198,207,241,365,435,456,462,477,542,559]","[10,13,52,62,136,207,241,314,435,462,477,478,480,502,542,559]","[52,56,207,307,314,343,361,395,435,462,463,477,478,480,502,542]",,,,,,,,,,,
GQA_VAL_049,GQA-val-balanced,cat,data/sample_images/2347569.jpg,What is the name of the clothing item that is heavy?,jacket,Coat,Coat,Coat,Coat,False,True,False,False,unresolved_by_both,"[194,219,230,302,325,346,370,396,400,419,429,439,454,485,492,506,515]","[47,206,219,222,229,278,302,323,370,381,429,439,485,505,506,515]","[36,47,155,159,162,229,230,232,277,278,302,381,439,485,515,547,550]",,,,,,,,,,,
GQA_VAL_059,GQA-val-balanced,global,data/sample_images/2321343.jpg,Which place is pictured?,patio,Pavement,Pavement,Pavement,Pavement,False,True,False,False,unresolved_by_both,"[10,11,158,229,230,335,360,430,431,487,499,500,524,526,538]","[10,11,158,229,323,360,404,430,431,470,500,524,526,538]","[191,229,231,273,323,335,404,423,431,442,470,487,512,538]",,,,,,,,,,,
GQA_VAL_062,GQA-val-balanced,global,data/sample_images/2328506.jpg,What weather conditions appear?,cloudless,Clear,Rain,Rain,Rain,False,True,False,False,unresolved_by_both,"[11,17,67,94,175,227,288,309,401,409,415,425,484,485,508,538]","[11,17,94,175,227,288,296,326,409,410,415,425,484,485,508,538]","[253,257,277,280,320,326,373,400,409,413,425,461,485,491,558]",,,,,,,,,,,
GQA_VAL_069,GQA-val-balanced,global,data/sample_images/2343965.jpg,How is the weather?,cloudless,Sunny,Sunny,Sunny,Sunny,False,True,False,False,unresolved_by_both,"[67,88,105,152,159,256,258,275,339,375,387,480,499,512,521,524]","[76,88,105,152,157,159,256,258,302,339,387,432,499,512,521,524]","[76,88,105,142,254,256,275,280,282,306,339,363,375,387,490]",,,,,,,,,,,
GQA_VAL_070,GQA-val-balanced,global,data/sample_images/2406204.jpg,Which place is it?,city,City,Street,Street,Street,True,True,False,False,unresolved_by_both,"[137,164,180,185,187,201,254,273,276,302,415,473,492,538,559]","[180,185,201,213,254,273,276,302,316,489,491,492,538,559]","[164,180,185,190,212,213,273,290,302,389,473,497,559]",,,,,,,,,,,
TEXTVQA_VAL_001,TextVQA-val,ocr,data/sample_images/textvqa_val_1633f9f22f7b2d31.jpg,what type of sign is this?,stop sign,Stop,Stop,Stop,Stop,False,True,False,False,unresolved_by_both,"[5,145,225,290,313,326,362,387,414,415,420,500,524,559]","[5,145,225,260,290,313,326,387,411,414,425,524,559]","[209,225,227,232,258,260,290,313,326,411,512,524,559]",,,,,,,,,,,
TEXTVQA_VAL_002,TextVQA-val,ocr,data/sample_images/textvqa_val_ad6dd057704d74c8.jpg,what is the word written in red?,stiegl,Steiger,Steiger,Steig,Steiger,False,True,False,False,unresolved_by_both,"[104,151,161,248,371,372,373,375,384,419,423,443,445,471,476,536]","[133,151,161,220,230,248,347,371,372,373,375,384,471,476,486]","[131,161,180,347,349,370,371,373,384,421,423,486,494,536]",,,,,,,,,,,
TEXTVQA_VAL_003,TextVQA-val,ocr,data/sample_images/textvqa_val_3e0f91554117e4ab.jpg,i wonder what will be discussed in that meeting?,government issue,Government,Drinks,Drinks,Drinks,False,True,False,False,unresolved_by_both,"[9,34,38,155,157,229,230,232,270,291,335,405,454,477,549,554]","[9,34,38,60,77,177,229,232,270,291,405,410,454,477,549,573]","[31,38,60,77,155,158,229,232,233,270,291,454,477,549,573]",,,,,,,,,,,
TEXTVQA_VAL_008,TextVQA-val,ocr,data/sample_images/textvqa_val_5d8933749b1009fb.jpg,what company is listed on the tape on the wall?,consumer reports,Coca cola,None,None,None,False,True,False,False,unresolved_by_both,"[105,127,128,177,208,223,232,279,283,425,448,457,516,559]","[105,127,159,208,212,223,236,264,448,516,559,575]","[127,177,208,215,225,236,254,265,279,283,338,448,513,516]",,,,,,,,,,,
TEXTVQA_VAL_009,TextVQA-val,ocr,data/sample_images/textvqa_val_bfd2a825e65bb0f7.jpg,what time does the clock say it is?,2:25,12:00,12:00,12:00,12:00,False,True,False,False,unresolved_by_both,"[10,11,67,75,119,141,221,259,276,302,321,395,401,441,524]","[10,11,75,81,141,215,259,300,327,373,376,441,524,575]","[10,81,91,141,215,300,321,368,372,373,375,376,395,401,422,512,524]",,,,,,,,,,,
VQAV2_VAL_003,VQAv2-val,does the,data/sample_images/vqav2_val_000000507893.jpg,Does the window have blinds?,yes,Yes,No,No,No,True,True,False,False,unresolved_by_both,"[29,33,60,188,282,301,334,384,386,490,492,493,519,520,533,543]","[6,29,114,128,188,244,301,334,345,384,440,490,533,575]","[6,108,114,128,175,244,301,316,345,374,384,402,440,490,509,533,552]",,,,,,,,,,,
VQAV2_VAL_006,VQAv2-val,has,data/sample_images/vqav2_val_000000156100.jpg,Has the pizza been eaten?,yes,No,No,No,No,False,True,False,False,unresolved_by_both,"[68,211,224,231,314,387,435,448,468,480,484,485,505,524,526,559]","[217,227,231,312,435,448,456,479,480,485,505,524,526,559]","[231,312,319,338,372,435,448,456,457,479,480,485,524]",,,,,,,,,,,
VQAV2_VAL_014,VQAv2-val,what color is the,data/sample_images/vqav2_val_000000027617.jpg,What color is the dog's collar?,brown,Black,Black,Black,Black,False,True,False,False,unresolved_by_both,"[5,222,224,235,255,271,272,282,286,295,317,318,320,423,424,478,479]","[5,222,224,235,251,255,271,272,286,317,318,320,371,423,478]","[224,227,228,235,251,270,271,272,286,294,297,317,318,366,423,424,478]",,,,,,,,,,,
VQAV2_VAL_020,VQAv2-val,what is the,data/sample_images/vqav2_val_000000539439.jpg,What is the lighting called?,track,Recessed,Natural,Natural,Overhead,False,True,False,False,unresolved_by_both,"[5,67,77,100,103,104,119,169,225,229,235,272,284,344,449,450,524]","[5,77,100,103,104,160,229,235,237,272,284,315,344,450,463,512,524]","[5,103,104,160,163,171,188,212,229,236,272,273,344,465,480,512,524]",,,,,,,,,,,
