rank,expanded_case_id,dataset,question_id,case_group,prompt,ground_truth,dense_prediction,sparse_prediction,ours_prediction,threshold_prediction,selection_basis
40,GQA_08591059,gqa,08591059,ours_only_recovery,What type of device is to the right of the coffee cup?,phone,Phone,Television,Phone,Television,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
41,GQA_12889581,gqa,12889581,ours_only_recovery,Is the woman to the left or to the right of the vehicle that the bicycle is in front of?,left,Left,Right,Left,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
44,GQA_08948215,gqa,08948215,ours_only_recovery,Does the fire hydrant have a different color than the chain?,yes,Yes,No,Yes,No,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
45,GQA_09720875,gqa,09720875,ours_only_recovery,Do you see any shelves to the left of the clock in the top of the image?,yes,Yes,No,Yes,No,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
46,GQA_08470583,gqa,08470583,ours_only_recovery,What is the name of the watercraft in the still water?,sailboat,Sailboat,Boats,Sailboat,Boats,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
50,GQA_00665875,gqa,00665875,ours_only_recovery,How is the vegetable that is lying on top of the plate called?,potato,Potato,Carrot,Potato,Carrot,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
54,GQA_07886813,gqa,07886813,ours_only_recovery,Which color is the television that is in the middle of the picture?,gray,Gray,Silver,Gray,Silver,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
55,GQA_16208191,gqa,16208191,ours_only_recovery,What type of appliance is on the counter?,microwave,Microwave,Refrigerator,Microwave,Refrigerator,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
58,GQA_03992241,gqa,03992241,ours_only_recovery,Is the chair in the bottom or in the top part of the image?,bottom,Bottom,Top,Bottom,Top,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
59,GQA_05831816,gqa,05831816,ours_only_recovery,What material makes up the utensil to the right of the food?,plastic,Plastic,Metal,Plastic,Metal,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
66,GQA_17786365,gqa,17786365,ours_only_recovery,What is the blue towel hanging on?,stove,Stove,Oven,Stove,Oven,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
67,GQA_03472445,gqa,03472445,ours_only_recovery,What color do you think the counter has?,white,White,Black,White,Black,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
69,GQA_03104844,gqa,03104844,ours_only_recovery,Is the telephone to the left of a keyboard?,yes,Yes,No,Yes,No,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
71,GQA_14768956,gqa,14768956,ours_only_recovery,Is the man to the left or to the right of the bike that is on the bench?,left,Left,Right,Left,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
86,GQA_06122733,gqa,06122733,ours_only_recovery,What device is in the drawer?,keyboard,Computer,Laptop,Keyboard,Computer,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
95,GQA_02309173,gqa,02309173,ours_only_recovery,"On which side of the photo is the screen, the right or the left?",left,Right,Right,Left,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
98,GQA_04354321,gqa,04354321,ours_only_recovery,Does the plate to the left of the bowl look white and small?,yes,No,No,Yes,No,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
99,GQA_19321644,gqa,19321644,ours_only_recovery,What color is the mat?,green,White,Black,Green,Black,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
107,GQA_13711591,gqa,13711591,ours_only_recovery,How is the vehicle that is the same color as the sign on the pole called?,truck,Van,Car,Truck,Car,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
112,GQA_19459620,gqa,19459620,ours_only_recovery,Is the car to the right or to the left of the people?,left,Right,Right,Left,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
115,GQA_10926906,gqa,10926906,ours_only_recovery,What type of fruit is to the right of the orange?,strawberry,Grape,Watermelon,Strawberry,Melon,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
126,GQA_08235774,gqa,08235774,ours_only_recovery,What is on the wall?,television,Picture,Fireplace,Television,Fireplace,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
132,GQA_07477538,gqa,07477538,ours_and_threshold_recovery,Are there men to the right of the player in the center of the picture?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
136,GQA_09836438,gqa,09836438,ours_and_threshold_recovery,What is the man doing?,eating,Eating,Drinking,Eating,Eating,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
137,GQA_171054014,gqa,171054014,ours_and_threshold_recovery,Are there toys on the floor?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
143,GQA_07383471,gqa,07383471,ours_and_threshold_recovery,Does the device that is not turned-off look black?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
148,GQA_11546593,gqa,11546593,ours_and_threshold_recovery,Is the person to the right of the people wearing a helmet?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
149,GQA_022324,gqa,022324,ours_and_threshold_recovery,On which side of the picture is the leather bag?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
150,GQA_08161588,gqa,08161588,ours_and_threshold_recovery,Which side of the picture is the umbrella on?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
151,GQA_0984602,gqa,0984602,ours_and_threshold_recovery,What is in the bowl made of metal?,broccoli,Broccoli,Food,Broccoli,Broccoli,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
155,GQA_08830310,gqa,08830310,ours_and_threshold_recovery,Is the car to the left or to the right of the person in the middle of the photo?,left,Left,Right,Left,Left,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
160,GQA_03177807,gqa,03177807,ours_and_threshold_recovery,What animal is eating the cake?,dog,Dog,Cat,Dog,Dog,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
162,GQA_1390641,gqa,1390641,ours_and_threshold_recovery,What vehicle is it?,truck,Truck,Car,Truck,Truck,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
165,GQA_02594994,gqa,02594994,ours_and_threshold_recovery,Does the sweatshirt look black?,no,No,Yes,No,No,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
169,GQA_11412675,gqa,11412675,ours_and_threshold_recovery,What is the brown animal doing?,jumping,Jumping,Playing frisbee,Jumping,Jumping,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
175,GQA_09446084,gqa,09446084,ours_and_threshold_recovery,Is the person that is pointing wearing a necktie?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
182,GQA_13108425,gqa,13108425,ours_and_threshold_recovery,"On which side are the papers, the left or the right?",right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
186,GQA_10560337,gqa,10560337,ours_and_threshold_recovery,What is on the shelf?,glasses,Glasses,Bottles,Glasses,Glasses,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
189,GQA_09964744,gqa,09964744,ours_and_threshold_recovery,Is the clock in the bottom part or in the top of the photo?,top,Top,Bottom,Top,Top,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
190,GQA_09964907,gqa,09964907,ours_and_threshold_recovery,"In which part of the image is the remote, the top or the bottom?",top,Top,Bottom,Top,Top,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
192,GQA_13376836,gqa,13376836,ours_and_threshold_recovery,What do you think is pulled by the white animal?,carriage,Carriage,Cart,Carriage,Carriage,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
194,GQA_14889532,gqa,14889532,ours_and_threshold_recovery,What is the color of the door the sticker is on?,white,White,Blue,White,White,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
196,GQA_05425412,gqa,05425412,ours_and_threshold_recovery,What is the color of the tiles?,green,Green,Brown,Green,Green,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
197,GQA_07613830,gqa,07613830,ours_and_threshold_recovery,Do the house and the sign have a different colors?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
198,GQA_08258647,gqa,08258647,ours_and_threshold_recovery,Does the happy person wear a jacket?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
200,GQA_16319797,gqa,16319797,ours_and_threshold_recovery,What kind of clothing is yellow?,sweater,Sweater,Shirt,Sweater,Sweater,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
204,GQA_19225511,gqa,19225511,ours_and_threshold_recovery,Do you see refrigerators in the scene?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
207,GQA_07733683,gqa,07733683,ours_and_threshold_recovery,Is the green lettuce on the sandwich?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
212,GQA_021025835,gqa,021025835,ours_and_threshold_recovery,Are there any cabinets to the right of the fridge?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
215,GQA_12252856,gqa,12252856,ours_and_threshold_recovery,What is the train on?,platform,Platform,Tracks,Platform,Platform,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
218,GQA_00882837,gqa,00882837,ours_and_threshold_recovery,Are there any pillows to the left of the sofa that is in front of the lamp?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
219,GQA_02395704,gqa,02395704,ours_and_threshold_recovery,Are the yellow chairs on the right or on the left side?,left,Left,Right,Left,Left,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
221,GQA_06699178,gqa,06699178,ours_and_threshold_recovery,Is the computer desk beige or black?,beige,Beige,Black,Beige,Beige,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
222,GQA_10595290,gqa,10595290,ours_and_threshold_recovery,The trees are where?,yard,Yard,Field,Yard,Yard,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
224,GQA_12278128,gqa,12278128,ours_and_threshold_recovery,Is the helmet on the left side?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
226,GQA_1297276,gqa,1297276,ours_and_threshold_recovery,What is the black piece of clothing?,coat,Coat,Hat,Coat,Coat,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
227,GQA_13168629,gqa,13168629,ours_and_threshold_recovery,On which side is the cheese?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
228,GQA_13834667,gqa,13834667,ours_and_threshold_recovery,What is in front of the vehicle that is to the right of the police officer?,bus,Bus,Motorcycle,Bus,Bus,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
230,GQA_15290680,gqa,15290680,ours_and_threshold_recovery,On which side of the photo is the cat?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
238,GQA_0479775,gqa,0479775,ours_and_threshold_recovery,What color is the dry road?,gray,Gray,Black,Gray,Gray,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
243,GQA_13414037,gqa,13414037,ours_and_threshold_recovery,Who wears a shirt?,woman,Woman,Player,Woman,Woman,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
246,GQA_15559095,gqa,15559095,ours_and_threshold_recovery,Do you see any fences or zebras in the picture?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
250,GQA_1335419,gqa,1335419,ours_and_threshold_recovery,Is there a child on the elephant?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
251,GQA_161016410,gqa,161016410,ours_and_threshold_recovery,Who is wearing the shoes?,boy,Boy,Man,Boy,Boy,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
252,GQA_16801731,gqa,16801731,ours_and_threshold_recovery,What is the color of the grass?,brown,Brown,Green,Brown,Brown,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
254,POPE_adversarial_111,pope,adversarial_111,ours_and_threshold_recovery,Is there a bench in the image?,yes,yes,no,yes,yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
255,POPE_popular_111,pope,popular_111,ours_and_threshold_recovery,Is there a bench in the image?,yes,yes,no,yes,yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
256,POPE_random_104,pope,random_104,ours_and_threshold_recovery,Is there a bench in the image?,yes,yes,no,yes,yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
257,GQA_10369161,gqa,10369161,ours_and_threshold_recovery,What type of fruit is to the left of the tray that leans on the wall?,peach,Peach,Avocado,Peach,Peach,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
258,GQA_15825125,gqa,15825125,ours_and_threshold_recovery,On what is the white animal sitting?,chair,Chair,Bench,Chair,Chair,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
260,GQA_0435047,gqa,0435047,ours_and_threshold_recovery,Is the black suitcase to the left or to the right of the man that is holding the bag?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
266,GQA_00223209,gqa,00223209,ours_and_threshold_recovery,The hair is of what color?,blond,Blond,Black,Blond,Blond,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
267,GQA_01106981,gqa,01106981,ours_and_threshold_recovery,"In which part of the photo is the man, the top or the bottom?",top,Top,Bottom,Top,Top,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
270,GQA_04800740,gqa,04800740,ours_and_threshold_recovery,Who is wearing shorts?,girl,Girl,Man,Girl,Girl,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
271,GQA_10595216,gqa,10595216,ours_and_threshold_recovery,The grass is where?,yard,Yard,Ground,Yard,Yard,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
272,GQA_13831934,gqa,13831934,ours_and_threshold_recovery,Is the fence to the right or to the left of the giraffe in the zoo?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
273,GQA_15163893,gqa,15163893,ours_and_threshold_recovery,Is the woman to the right of the utensil holding wine?,no,No,Yes,No,No,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
274,GQA_15884411,gqa,15884411,ours_and_threshold_recovery,What is the vehicle that is on the street?,bus,Bus,Car,Bus,Bus,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
275,GQA_17836627,gqa,17836627,ours_and_threshold_recovery,On which side of the picture are the curtains?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
278,GQA_19535561,gqa,19535561,ours_and_threshold_recovery,Where is the horse?,beach,Beach,In front,Beach,Beach,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
284,GQA_09759805,gqa,09759805,ours_and_threshold_recovery,Which side of the image is the girl on?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
286,GQA_02148815,gqa,02148815,ours_and_threshold_recovery,Is the truck to the left or to the right of the vehicle that is parked near the street?,left,Left,Right,Left,Left,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
287,GQA_0660580,gqa,0660580,ours_and_threshold_recovery,The person to the left of the scissors is sitting on what?,rug,Rug,Floor,Rug,Rug,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
288,GQA_08264127,gqa,08264127,ours_and_threshold_recovery,Are there both windows and doors in the photo?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
290,GQA_05856352,gqa,05856352,ours_and_threshold_recovery,Is there a bag to the left of the man that is pushing the luggage?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
291,GQA_06792703,gqa,06792703,ours_and_threshold_recovery,Who is in front of the sink?,boy,Boy,Man,Boy,Boy,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
294,GQA_00314249,gqa,00314249,ours_and_threshold_recovery,What is the stop sign in front of?,bridge,Bridge,Building,Bridge,Bridge,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
295,GQA_02333625,gqa,02333625,ours_and_threshold_recovery,Do you see any wet grass or sand?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
296,GQA_03509861,gqa,03509861,ours_and_threshold_recovery,What is the vegetable that is to the right of the meat in the top part?,broccoli,Broccoli,Carrot,Broccoli,Broccoli,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
297,GQA_06314509,gqa,06314509,ours_and_threshold_recovery,What is the animal to the left of the goat that is of the fence?,horse,Horse,Cow,Horse,Horse,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
298,GQA_06412953,gqa,06412953,ours_and_threshold_recovery,Is the house on the left side?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
300,GQA_06975446,gqa,06975446,ours_and_threshold_recovery,Are there blue bikes in the image?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
303,GQA_12771158,gqa,12771158,ours_and_threshold_recovery,Is the black stove to the left or to the right of the bottle that is in front of the power outlet?,left,Left,Right,Left,Left,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
305,GQA_17860928,gqa,17860928,ours_and_threshold_recovery,What is the cat on?,bench,Bench,Ground,Bench,Bench,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
306,GQA_19466900,gqa,19466900,ours_and_threshold_recovery,Does the paper container have white color?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
307,POPE_adversarial_177,pope,adversarial_177,ours_and_threshold_recovery,Is there a toothbrush in the image?,yes,yes,no,yes,yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
310,POPE_popular_177,pope,popular_177,ours_and_threshold_recovery,Is there a toothbrush in the image?,yes,yes,no,yes,yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
312,POPE_random_168,pope,random_168,ours_and_threshold_recovery,Is there a toothbrush in the image?,yes,yes,no,yes,yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
314,GQA_03974231,gqa,03974231,ours_and_threshold_recovery,What is the person to the right of the truck wearing?,vest,Vest,Shirt,Vest,Vest,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
316,GQA_0766542,gqa,0766542,ours_and_threshold_recovery,Do you see any cars or fences?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
317,GQA_10144613,gqa,10144613,ours_and_threshold_recovery,Is the person beside the ladder holding a suitcase?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
320,GQA_18664609,gqa,18664609,ours_and_threshold_recovery,Does the hat have the same color as the jacket?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
322,GQA_08965653,gqa,08965653,ours_and_threshold_recovery,What fruits are to the left of the box in the middle of the photo?,oranges,Oranges,Apples,Oranges,Oranges,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
324,GQA_07257519,gqa,07257519,ours_and_threshold_recovery,On which side of the picture is the traffic signal?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
325,GQA_08197176,gqa,08197176,ours_and_threshold_recovery,What color is the jacket that the man wears?,red,Red,Black,Red,Red,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
327,GQA_10150874,gqa,10150874,ours_and_threshold_recovery,Is the girl to the right or to the left of the window curtain?,left,Left,Right,Left,Left,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
329,GQA_11821300,gqa,11821300,ours_and_threshold_recovery,What is the device that is on top of the desk?,computer,Computer,Laptop,Computer,Computer,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
334,GQA_04157864,gqa,04157864,ours_and_threshold_recovery,What does the man to the right of the laptop sit on?,chair,Chair,Table,Chair,Chair,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
338,GQA_15311108,gqa,15311108,ours_and_threshold_recovery,On which side is the shelf?,right,Right,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
341,GQA_06689249,gqa,06689249,ours_and_threshold_recovery,Is the shirt black or red?,red,Red,Black,Red,Red,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
349,GQA_19225529,gqa,19225529,ours_and_threshold_recovery,What appliance is to the right of the open drawer?,refrigerator,Refrigerator,Stove,Refrigerator,Refrigerator,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
354,GQA_08863476,gqa,08863476,ours_and_threshold_recovery,Does the bag to the left of the other bag look green?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
355,GQA_1858652,gqa,1858652,ours_and_threshold_recovery,What does the person above the grass wear?,pants,Pants,Shirt,Pants,Pants,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
360,GQA_11199885,gqa,11199885,ours_and_threshold_recovery,"On which side of the image is the white device, the right or the left?",left,Left,Right,Left,Left,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
362,GQA_03337674,gqa,03337674,ours_and_threshold_recovery,Is there a chair around the table near the window?,yes,Yes,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
368,GQA_09188457,gqa,09188457,ours_and_threshold_recovery,What piece of furniture is black?,shelf,Table,Table,Shelf,Shelf,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
369,GQA_115763,gqa,115763,ours_and_threshold_recovery,Are there any white bagels or breads?,yes,No,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
372,GQA_101024806,gqa,101024806,ours_and_threshold_recovery,What kind of vegetable is in the salad with the onion?,tomato,Lettuce,Lettuce,Tomato,Tomato,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
373,GQA_12387531,gqa,12387531,ours_and_threshold_recovery,Which side of the picture is the man on?,right,Left,Left,Right,Right,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
374,GQA_06376614,gqa,06376614,ours_and_threshold_recovery,What color is the car in the middle?,yellow,Red,Red,Yellow,Yellow,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
377,GQA_05907205,gqa,05907205,ours_and_threshold_recovery,What is the bowl on?,coffee table,Table,Table,Coffee table,Coffee table,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
380,GQA_03587398,gqa,03587398,ours_and_threshold_recovery,Which color does the necklace have?,gold,Silver,Silver,Gold,Gold,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
382,GQA_16581425,gqa,16581425,ours_and_threshold_recovery,Are there pillows or books?,yes,No,No,Yes,Yes,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
384,GQA_13832410,gqa,13832410,ours_and_threshold_recovery,Of which color is the luggage near the stone?,blue,Black,Brown,Blue,Blue,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
387,GQA_06997529,gqa,06997529,ours_and_threshold_recovery,What's on the floor?,couch,Carpet,Carpet,Couch,Couch,Overlay visibly suggests Ours-64 covers the likely evidence region better than SparseVLM-Original-64.
