rank,expanded_case_id,dataset,question_id,method,method_label,figure_path,image_name,image_path,prompt,ground_truth,prediction,layer2_raw_selected_patch_count,layer2_unique_patch_count,layer6_raw_selected_patch_count,layer6_unique_patch_count,layer15_raw_selected_patch_count,layer15_unique_patch_count,visualization_note
27,GQA_04897435,gqa,04897435,ours,Ours-64,outputs/stage7/figures/0027_GQA_04897435_ours_sparsevlm_style.png,2399886.jpg,data/kaggle_datasets/GQA/images/2399886.jpg,Is the pastry to the right or to the left of the white plate?,left,Left,66,66,28,28,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
27,GQA_04897435,gqa,04897435,threshold,Threshold-Fixed-64,outputs/stage7/figures/0027_GQA_04897435_threshold_sparsevlm_style.png,2399886.jpg,data/kaggle_datasets/GQA/images/2399886.jpg,Is the pastry to the right or to the left of the white plate?,left,Right,66,66,27,27,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
31,POPE_adversarial_287,pope,adversarial_287,sparse,SparseVLM-Original-64,outputs/stage7/figures/0031_POPE_adversarial_287_sparse_sparsevlm_style.png,COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,no,66,66,25,25,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
31,POPE_adversarial_287,pope,adversarial_287,ours,Ours-64,outputs/stage7/figures/0031_POPE_adversarial_287_ours_sparsevlm_style.png,COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,yes,66,66,25,25,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
31,POPE_adversarial_287,pope,adversarial_287,threshold,Threshold-Fixed-64,outputs/stage7/figures/0031_POPE_adversarial_287_threshold_sparsevlm_style.png,COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,no,66,66,26,26,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
32,POPE_popular_287,pope,popular_287,sparse,SparseVLM-Original-64,outputs/stage7/figures/0032_POPE_popular_287_sparse_sparsevlm_style.png,COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,no,66,66,25,25,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
32,POPE_popular_287,pope,popular_287,ours,Ours-64,outputs/stage7/figures/0032_POPE_popular_287_ours_sparsevlm_style.png,COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,yes,66,66,25,25,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
32,POPE_popular_287,pope,popular_287,threshold,Threshold-Fixed-64,outputs/stage7/figures/0032_POPE_popular_287_threshold_sparsevlm_style.png,COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,no,66,66,26,26,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
33,POPE_random_272,pope,random_272,sparse,SparseVLM-Original-64,outputs/stage7/figures/0033_POPE_random_272_sparse_sparsevlm_style.png,COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,no,66,66,25,25,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
33,POPE_random_272,pope,random_272,ours,Ours-64,outputs/stage7/figures/0033_POPE_random_272_ours_sparsevlm_style.png,COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,yes,66,66,25,25,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
33,POPE_random_272,pope,random_272,threshold,Threshold-Fixed-64,outputs/stage7/figures/0033_POPE_random_272_threshold_sparsevlm_style.png,COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,no,66,66,26,26,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
35,GQA_13904299,gqa,13904299,sparse,SparseVLM-Original-64,outputs/stage7/figures/0035_GQA_13904299_sparse_sparsevlm_style.png,498121.jpg,data/kaggle_datasets/GQA/images/498121.jpg,Is the yellow bag to the right of a man?,no,Yes,66,66,26,26,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
35,GQA_13904299,gqa,13904299,ours,Ours-64,outputs/stage7/figures/0035_GQA_13904299_ours_sparsevlm_style.png,498121.jpg,data/kaggle_datasets/GQA/images/498121.jpg,Is the yellow bag to the right of a man?,no,No,66,66,25,25,13,13,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
35,GQA_13904299,gqa,13904299,threshold,Threshold-Fixed-64,outputs/stage7/figures/0035_GQA_13904299_threshold_sparsevlm_style.png,498121.jpg,data/kaggle_datasets/GQA/images/498121.jpg,Is the yellow bag to the right of a man?,no,Yes,66,66,27,27,17,17,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
40,GQA_08591059,gqa,08591059,sparse,SparseVLM-Original-64,outputs/stage7/figures/0040_GQA_08591059_sparse_sparsevlm_style.png,2410307.jpg,data/kaggle_datasets/GQA/images/2410307.jpg,What type of device is to the right of the coffee cup?,phone,Television,66,66,26,26,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
40,GQA_08591059,gqa,08591059,ours,Ours-64,outputs/stage7/figures/0040_GQA_08591059_ours_sparsevlm_style.png,2410307.jpg,data/kaggle_datasets/GQA/images/2410307.jpg,What type of device is to the right of the coffee cup?,phone,Phone,66,66,24,24,12,12,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
40,GQA_08591059,gqa,08591059,threshold,Threshold-Fixed-64,outputs/stage7/figures/0040_GQA_08591059_threshold_sparsevlm_style.png,2410307.jpg,data/kaggle_datasets/GQA/images/2410307.jpg,What type of device is to the right of the coffee cup?,phone,Television,66,66,24,24,11,11,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
41,GQA_12889581,gqa,12889581,sparse,SparseVLM-Original-64,outputs/stage7/figures/0041_GQA_12889581_sparse_sparsevlm_style.png,2397488.jpg,data/kaggle_datasets/GQA/images/2397488.jpg,Is the woman to the left or to the right of the vehicle that the bicycle is in front of?,left,Right,66,66,23,23,12,12,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
41,GQA_12889581,gqa,12889581,ours,Ours-64,outputs/stage7/figures/0041_GQA_12889581_ours_sparsevlm_style.png,2397488.jpg,data/kaggle_datasets/GQA/images/2397488.jpg,Is the woman to the left or to the right of the vehicle that the bicycle is in front of?,left,Left,66,66,27,27,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
41,GQA_12889581,gqa,12889581,threshold,Threshold-Fixed-64,outputs/stage7/figures/0041_GQA_12889581_threshold_sparsevlm_style.png,2397488.jpg,data/kaggle_datasets/GQA/images/2397488.jpg,Is the woman to the left or to the right of the vehicle that the bicycle is in front of?,left,Right,66,66,25,25,13,13,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
44,GQA_08948215,gqa,08948215,sparse,SparseVLM-Original-64,outputs/stage7/figures/0044_GQA_08948215_sparse_sparsevlm_style.png,2343937.jpg,data/kaggle_datasets/GQA/images/2343937.jpg,Does the fire hydrant have a different color than the chain?,yes,No,66,66,29,29,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
44,GQA_08948215,gqa,08948215,ours,Ours-64,outputs/stage7/figures/0044_GQA_08948215_ours_sparsevlm_style.png,2343937.jpg,data/kaggle_datasets/GQA/images/2343937.jpg,Does the fire hydrant have a different color than the chain?,yes,Yes,66,66,24,24,13,13,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
44,GQA_08948215,gqa,08948215,threshold,Threshold-Fixed-64,outputs/stage7/figures/0044_GQA_08948215_threshold_sparsevlm_style.png,2343937.jpg,data/kaggle_datasets/GQA/images/2343937.jpg,Does the fire hydrant have a different color than the chain?,yes,No,66,66,25,25,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
45,GQA_09720875,gqa,09720875,sparse,SparseVLM-Original-64,outputs/stage7/figures/0045_GQA_09720875_sparse_sparsevlm_style.png,2368297.jpg,data/kaggle_datasets/GQA/images/2368297.jpg,Do you see any shelves to the left of the clock in the top of the image?,yes,No,66,66,23,23,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
45,GQA_09720875,gqa,09720875,ours,Ours-64,outputs/stage7/figures/0045_GQA_09720875_ours_sparsevlm_style.png,2368297.jpg,data/kaggle_datasets/GQA/images/2368297.jpg,Do you see any shelves to the left of the clock in the top of the image?,yes,Yes,66,66,26,26,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
45,GQA_09720875,gqa,09720875,threshold,Threshold-Fixed-64,outputs/stage7/figures/0045_GQA_09720875_threshold_sparsevlm_style.png,2368297.jpg,data/kaggle_datasets/GQA/images/2368297.jpg,Do you see any shelves to the left of the clock in the top of the image?,yes,No,66,66,25,25,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
46,GQA_08470583,gqa,08470583,sparse,SparseVLM-Original-64,outputs/stage7/figures/0046_GQA_08470583_sparse_sparsevlm_style.png,2386200.jpg,data/kaggle_datasets/GQA/images/2386200.jpg,What is the name of the watercraft in the still water?,sailboat,Boats,66,66,26,26,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
46,GQA_08470583,gqa,08470583,ours,Ours-64,outputs/stage7/figures/0046_GQA_08470583_ours_sparsevlm_style.png,2386200.jpg,data/kaggle_datasets/GQA/images/2386200.jpg,What is the name of the watercraft in the still water?,sailboat,Sailboat,66,66,23,23,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
46,GQA_08470583,gqa,08470583,threshold,Threshold-Fixed-64,outputs/stage7/figures/0046_GQA_08470583_threshold_sparsevlm_style.png,2386200.jpg,data/kaggle_datasets/GQA/images/2386200.jpg,What is the name of the watercraft in the still water?,sailboat,Boats,66,66,27,27,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
50,GQA_00665875,gqa,00665875,sparse,SparseVLM-Original-64,outputs/stage7/figures/0050_GQA_00665875_sparse_sparsevlm_style.png,2317322.jpg,data/kaggle_datasets/GQA/images/2317322.jpg,How is the vegetable that is lying on top of the plate called?,potato,Carrot,66,66,27,27,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
50,GQA_00665875,gqa,00665875,ours,Ours-64,outputs/stage7/figures/0050_GQA_00665875_ours_sparsevlm_style.png,2317322.jpg,data/kaggle_datasets/GQA/images/2317322.jpg,How is the vegetable that is lying on top of the plate called?,potato,Potato,66,66,26,26,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
50,GQA_00665875,gqa,00665875,threshold,Threshold-Fixed-64,outputs/stage7/figures/0050_GQA_00665875_threshold_sparsevlm_style.png,2317322.jpg,data/kaggle_datasets/GQA/images/2317322.jpg,How is the vegetable that is lying on top of the plate called?,potato,Carrot,66,66,26,26,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
54,GQA_07886813,gqa,07886813,sparse,SparseVLM-Original-64,outputs/stage7/figures/0054_GQA_07886813_sparse_sparsevlm_style.png,85.jpg,data/kaggle_datasets/GQA/images/85.jpg,Which color is the television that is in the middle of the picture?,gray,Silver,66,66,29,29,17,17,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
54,GQA_07886813,gqa,07886813,ours,Ours-64,outputs/stage7/figures/0054_GQA_07886813_ours_sparsevlm_style.png,85.jpg,data/kaggle_datasets/GQA/images/85.jpg,Which color is the television that is in the middle of the picture?,gray,Gray,66,66,29,29,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
54,GQA_07886813,gqa,07886813,threshold,Threshold-Fixed-64,outputs/stage7/figures/0054_GQA_07886813_threshold_sparsevlm_style.png,85.jpg,data/kaggle_datasets/GQA/images/85.jpg,Which color is the television that is in the middle of the picture?,gray,Silver,66,66,30,30,17,17,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
55,GQA_16208191,gqa,16208191,sparse,SparseVLM-Original-64,outputs/stage7/figures/0055_GQA_16208191_sparse_sparsevlm_style.png,2338510.jpg,data/kaggle_datasets/GQA/images/2338510.jpg,What type of appliance is on the counter?,microwave,Refrigerator,66,66,25,25,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
55,GQA_16208191,gqa,16208191,ours,Ours-64,outputs/stage7/figures/0055_GQA_16208191_ours_sparsevlm_style.png,2338510.jpg,data/kaggle_datasets/GQA/images/2338510.jpg,What type of appliance is on the counter?,microwave,Microwave,66,66,25,25,17,17,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
55,GQA_16208191,gqa,16208191,threshold,Threshold-Fixed-64,outputs/stage7/figures/0055_GQA_16208191_threshold_sparsevlm_style.png,2338510.jpg,data/kaggle_datasets/GQA/images/2338510.jpg,What type of appliance is on the counter?,microwave,Refrigerator,66,66,27,27,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
58,GQA_03992241,gqa,03992241,sparse,SparseVLM-Original-64,outputs/stage7/figures/0058_GQA_03992241_sparse_sparsevlm_style.png,4101.jpg,data/kaggle_datasets/GQA/images/4101.jpg,Is the chair in the bottom or in the top part of the image?,bottom,Top,66,66,26,26,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
58,GQA_03992241,gqa,03992241,ours,Ours-64,outputs/stage7/figures/0058_GQA_03992241_ours_sparsevlm_style.png,4101.jpg,data/kaggle_datasets/GQA/images/4101.jpg,Is the chair in the bottom or in the top part of the image?,bottom,Bottom,66,66,26,26,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
58,GQA_03992241,gqa,03992241,threshold,Threshold-Fixed-64,outputs/stage7/figures/0058_GQA_03992241_threshold_sparsevlm_style.png,4101.jpg,data/kaggle_datasets/GQA/images/4101.jpg,Is the chair in the bottom or in the top part of the image?,bottom,Top,66,66,25,25,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
59,GQA_05831816,gqa,05831816,sparse,SparseVLM-Original-64,outputs/stage7/figures/0059_GQA_05831816_sparse_sparsevlm_style.png,2410522.jpg,data/kaggle_datasets/GQA/images/2410522.jpg,What material makes up the utensil to the right of the food?,plastic,Metal,66,66,28,28,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
59,GQA_05831816,gqa,05831816,ours,Ours-64,outputs/stage7/figures/0059_GQA_05831816_ours_sparsevlm_style.png,2410522.jpg,data/kaggle_datasets/GQA/images/2410522.jpg,What material makes up the utensil to the right of the food?,plastic,Plastic,66,66,27,27,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
59,GQA_05831816,gqa,05831816,threshold,Threshold-Fixed-64,outputs/stage7/figures/0059_GQA_05831816_threshold_sparsevlm_style.png,2410522.jpg,data/kaggle_datasets/GQA/images/2410522.jpg,What material makes up the utensil to the right of the food?,plastic,Metal,66,66,25,25,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
66,GQA_17786365,gqa,17786365,sparse,SparseVLM-Original-64,outputs/stage7/figures/0066_GQA_17786365_sparse_sparsevlm_style.png,2352226.jpg,data/kaggle_datasets/GQA/images/2352226.jpg,What is the blue towel hanging on?,stove,Oven,66,66,24,24,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
66,GQA_17786365,gqa,17786365,ours,Ours-64,outputs/stage7/figures/0066_GQA_17786365_ours_sparsevlm_style.png,2352226.jpg,data/kaggle_datasets/GQA/images/2352226.jpg,What is the blue towel hanging on?,stove,Stove,66,66,24,24,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
66,GQA_17786365,gqa,17786365,threshold,Threshold-Fixed-64,outputs/stage7/figures/0066_GQA_17786365_threshold_sparsevlm_style.png,2352226.jpg,data/kaggle_datasets/GQA/images/2352226.jpg,What is the blue towel hanging on?,stove,Oven,66,66,24,24,17,17,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
67,GQA_03472445,gqa,03472445,sparse,SparseVLM-Original-64,outputs/stage7/figures/0067_GQA_03472445_sparse_sparsevlm_style.png,2363794.jpg,data/kaggle_datasets/GQA/images/2363794.jpg,What color do you think the counter has?,white,Black,66,66,23,23,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
67,GQA_03472445,gqa,03472445,ours,Ours-64,outputs/stage7/figures/0067_GQA_03472445_ours_sparsevlm_style.png,2363794.jpg,data/kaggle_datasets/GQA/images/2363794.jpg,What color do you think the counter has?,white,White,66,66,26,26,14,14,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
67,GQA_03472445,gqa,03472445,threshold,Threshold-Fixed-64,outputs/stage7/figures/0067_GQA_03472445_threshold_sparsevlm_style.png,2363794.jpg,data/kaggle_datasets/GQA/images/2363794.jpg,What color do you think the counter has?,white,Black,66,66,27,27,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
69,GQA_03104844,gqa,03104844,sparse,SparseVLM-Original-64,outputs/stage7/figures/0069_GQA_03104844_sparse_sparsevlm_style.png,2317561.jpg,data/kaggle_datasets/GQA/images/2317561.jpg,Is the telephone to the left of a keyboard?,yes,No,66,66,25,25,12,12,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
69,GQA_03104844,gqa,03104844,ours,Ours-64,outputs/stage7/figures/0069_GQA_03104844_ours_sparsevlm_style.png,2317561.jpg,data/kaggle_datasets/GQA/images/2317561.jpg,Is the telephone to the left of a keyboard?,yes,Yes,66,66,25,25,13,13,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
69,GQA_03104844,gqa,03104844,threshold,Threshold-Fixed-64,outputs/stage7/figures/0069_GQA_03104844_threshold_sparsevlm_style.png,2317561.jpg,data/kaggle_datasets/GQA/images/2317561.jpg,Is the telephone to the left of a keyboard?,yes,No,66,66,24,24,15,15,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
71,GQA_14768956,gqa,14768956,sparse,SparseVLM-Original-64,outputs/stage7/figures/0071_GQA_14768956_sparse_sparsevlm_style.png,2396253.jpg,data/kaggle_datasets/GQA/images/2396253.jpg,Is the man to the left or to the right of the bike that is on the bench?,left,Right,66,66,29,29,17,17,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
71,GQA_14768956,gqa,14768956,ours,Ours-64,outputs/stage7/figures/0071_GQA_14768956_ours_sparsevlm_style.png,2396253.jpg,data/kaggle_datasets/GQA/images/2396253.jpg,Is the man to the left or to the right of the bike that is on the bench?,left,Left,66,66,27,27,16,16,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
71,GQA_14768956,gqa,14768956,threshold,Threshold-Fixed-64,outputs/stage7/figures/0071_GQA_14768956_threshold_sparsevlm_style.png,2396253.jpg,data/kaggle_datasets/GQA/images/2396253.jpg,Is the man to the left or to the right of the bike that is on the bench?,left,Right,66,66,28,28,17,17,SparseVLM-paper-style faded mask using explicit retained original-patch indices from layer_token_stats; merged/recycled tokens are not shown.
