expanded_case_id,dataset,question_id,case_group,sparse_raw_selected_patch_index_count,sparse_unique_patch_count,sparse_duplicate_patch_index_count,sparse_bbox,sparse_spatial_spread_mean_grid_distance,ours_raw_selected_patch_index_count,ours_unique_patch_count,ours_duplicate_patch_index_count,ours_bbox,ours_spatial_spread_mean_grid_distance,threshold_raw_selected_patch_index_count,threshold_unique_patch_count,threshold_duplicate_patch_index_count,threshold_bbox,threshold_spatial_spread_mean_grid_distance,sparse_ours_unique_overlap_count,sparse_ours_unique_jaccard,sparse_threshold_unique_overlap_count,sparse_threshold_unique_jaccard,ours_threshold_unique_overlap_count,ours_threshold_unique_jaccard
GQA_08721530,gqa,08721530,ours_only_recovery,14,14,0,rows=0-19;cols=0-23,7.173,15,15,0,rows=0-20;cols=0-23,8.118,15,15,0,rows=4-22;cols=0-23,7.790,7,0.318182,5,0.208333,4,0.153846
GQA_0711980,gqa,0711980,ours_only_recovery,16,16,0,rows=0-23;cols=1-19,7.760,16,16,0,rows=0-23;cols=1-23,8.557,16,16,0,rows=6-21;cols=1-23,7.060,8,0.333333,3,0.103448,8,0.333333
GQA_13708423,gqa,13708423,ours_only_recovery,15,15,0,rows=0-21;cols=4-23,9.405,13,13,0,rows=2-21;cols=1-23,9.559,15,15,0,rows=7-21;cols=1-23,9.485,7,0.333333,7,0.304348,8,0.400000
GQA_171019332,gqa,171019332,ours_only_recovery,15,15,0,rows=5-20;cols=5-21,6.632,13,13,0,rows=5-20;cols=5-23,6.213,15,15,0,rows=7-20;cols=6-20,4.517,7,0.333333,7,0.304348,6,0.272727
GQA_13325336,gqa,13325336,ours_only_recovery,15,15,0,rows=0-23;cols=1-23,9.722,16,16,0,rows=0-23;cols=1-23,8.743,16,16,0,rows=7-22;cols=0-23,7.751,8,0.347826,5,0.192308,6,0.230769
GQA_00364708,gqa,00364708,ours_only_recovery,17,17,0,rows=8-23;cols=4-22,5.051,17,17,0,rows=3-23;cols=4-23,6.720,16,16,0,rows=6-23;cols=4-20,7.230,9,0.360000,5,0.178571,5,0.178571
GQA_05657295,gqa,05657295,ours_only_recovery,15,15,0,rows=0-21;cols=1-21,9.148,15,15,0,rows=2-21;cols=1-21,8.011,13,13,0,rows=7-20;cols=5-21,6.231,8,0.363636,5,0.217391,5,0.217391
GQA_05755427,gqa,05755427,ours_only_recovery,17,17,0,rows=3-23;cols=4-23,6.988,13,13,0,rows=3-23;cols=4-23,7.962,15,15,0,rows=3-21;cols=5-23,6.615,8,0.363636,7,0.280000,7,0.333333
GQA_17723926,gqa,17723926,ours_only_recovery,15,15,0,rows=0-21;cols=1-22,9.018,15,15,0,rows=0-21;cols=1-21,8.299,12,12,0,rows=9-21;cols=1-20,7.000,8,0.363636,6,0.285714,5,0.227273
GQA_09270639,gqa,09270639,ours_only_recovery,11,11,0,rows=3-22;cols=2-22,6.191,15,15,0,rows=3-23;cols=2-23,7.311,14,14,0,rows=3-22;cols=2-18,5.767,7,0.368421,6,0.315789,7,0.318182
GQA_09107750,gqa,09107750,ours_only_recovery,17,17,0,rows=0-23;cols=1-21,6.832,16,16,0,rows=0-23;cols=0-21,7.222,16,16,0,rows=6-23;cols=0-21,6.126,9,0.375000,8,0.320000,9,0.391304
GQA_14106572,gqa,14106572,ours_only_recovery,17,17,0,rows=6-23;cols=0-22,8.036,16,16,0,rows=5-23;cols=0-23,8.269,17,17,0,rows=2-23;cols=0-23,8.912,9,0.375000,8,0.307692,10,0.434783
GQA_121053041,gqa,121053041,ours_only_recovery,13,13,0,rows=0-23;cols=3-23,9.163,16,16,0,rows=0-23;cols=2-23,9.269,17,17,0,rows=3-23;cols=3-23,8.948,8,0.380952,5,0.200000,9,0.375000
GQA_1525400,gqa,1525400,ours_only_recovery,16,16,0,rows=0-19;cols=2-23,8.704,13,13,0,rows=0-23;cols=1-22,9.164,15,15,0,rows=2-23;cols=1-23,8.227,8,0.380952,6,0.240000,5,0.217391
GQA_02988553,gqa,02988553,ours_only_recovery,14,14,0,rows=0-23;cols=0-20,7.677,11,11,0,rows=0-23;cols=5-16,7.661,13,13,0,rows=7-20;cols=2-23,7.051,7,0.388889,3,0.125000,4,0.200000
GQA_041055575,gqa,041055575,ours_only_recovery,16,16,0,rows=2-23;cols=2-20,7.644,16,16,0,rows=2-23;cols=2-23,7.802,16,16,0,rows=2-23;cols=4-23,5.312,9,0.391304,7,0.280000,8,0.333333
GQA_04897435,gqa,04897435,ours_only_recovery,16,16,0,rows=0-23;cols=3-22,7.979,16,16,0,rows=0-23;cols=0-22,8.209,14,14,0,rows=0-18;cols=0-15,5.645,9,0.391304,3,0.111111,8,0.363636
GQA_06840857,gqa,06840857,ours_only_recovery,17,17,0,rows=0-21;cols=1-23,7.232,15,15,0,rows=0-21;cols=1-23,7.978,14,14,0,rows=7-21;cols=6-23,6.123,9,0.391304,8,0.347826,7,0.318182
GQA_17829889,gqa,17829889,ours_only_recovery,16,16,0,rows=0-21;cols=0-20,6.831,16,16,0,rows=0-21;cols=0-22,7.519,17,17,0,rows=8-20;cols=0-19,5.832,9,0.391304,9,0.375000,7,0.269231
GQA_19904667,gqa,19904667,ours_only_recovery,17,17,0,rows=0-21;cols=0-23,9.166,15,15,0,rows=0-21;cols=0-22,8.913,15,15,0,rows=6-21;cols=0-22,7.662,9,0.391304,6,0.230769,5,0.200000
POPE_adversarial_287,pope,adversarial_287,ours_only_recovery,16,16,0,rows=0-23;cols=2-22,8.519,16,16,0,rows=0-19;cols=0-22,8.273,16,16,0,rows=0-19;cols=4-23,7.011,9,0.391304,5,0.185185,6,0.230769
POPE_popular_287,pope,popular_287,ours_only_recovery,16,16,0,rows=0-23;cols=2-22,8.519,16,16,0,rows=0-19;cols=0-22,8.273,16,16,0,rows=0-19;cols=4-23,7.011,9,0.391304,5,0.185185,6,0.230769
POPE_random_272,pope,random_272,ours_only_recovery,16,16,0,rows=0-23;cols=2-22,8.519,16,16,0,rows=0-19;cols=0-22,8.273,16,16,0,rows=0-19;cols=4-23,7.011,9,0.391304,5,0.185185,6,0.230769
GQA_12977439,gqa,12977439,ours_only_recovery,15,15,0,rows=0-23;cols=6-23,8.243,13,13,0,rows=0-23;cols=6-22,8.900,15,15,0,rows=3-21;cols=4-22,6.768,8,0.400000,8,0.363636,7,0.333333
GQA_13904299,gqa,13904299,ours_only_recovery,15,15,0,rows=2-23;cols=2-20,7.866,13,13,0,rows=7-23;cols=2-23,6.583,17,17,0,rows=7-23;cols=2-20,5.758,8,0.400000,8,0.333333,8,0.363636
POPE_random_46,pope,random_46,ours_only_recovery,14,14,0,rows=0-23;cols=0-22,10.523,14,14,0,rows=0-23;cols=0-21,9.034,12,12,0,rows=0-20;cols=0-21,9.399,8,0.400000,5,0.238095,5,0.238095
GQA_09638418,gqa,09638418,ours_only_recovery,15,15,0,rows=1-23;cols=0-23,9.901,16,16,0,rows=1-23;cols=0-23,9.631,16,16,0,rows=8-23;cols=0-23,7.970,9,0.409091,7,0.291667,6,0.230769
GQA_181002748,gqa,181002748,ours_only_recovery,17,17,0,rows=0-23;cols=0-22,9.319,17,17,0,rows=0-21;cols=1-23,9.741,17,17,0,rows=4-23;cols=0-22,8.608,10,0.416667,10,0.416667,10,0.416667
GQA_03948744,gqa,03948744,ours_only_recovery,13,13,0,rows=0-23;cols=5-23,9.215,14,14,0,rows=0-23;cols=7-23,7.943,15,15,0,rows=7-23;cols=7-23,7.315,8,0.421053,4,0.166667,8,0.380952
GQA_08591059,gqa,08591059,ours_only_recovery,15,15,0,rows=0-21;cols=3-20,6.869,12,12,0,rows=0-21;cols=3-23,9.131,11,11,0,rows=8-20;cols=8-23,5.222,8,0.421053,5,0.238095,3,0.150000
GQA_12889581,gqa,12889581,ours_only_recovery,12,12,0,rows=8-20;cols=0-21,7.262,15,15,0,rows=4-23;cols=0-21,7.257,13,13,0,rows=3-23;cols=2-20,7.024,8,0.421053,4,0.190476,6,0.272727
GQA_12517931,gqa,12517931,ours_only_recovery,16,16,0,rows=1-21;cols=0-23,8.557,14,14,0,rows=1-23;cols=0-23,9.550,14,14,0,rows=1-23;cols=5-20,7.145,9,0.428571,4,0.153846,3,0.120000
GQA_17863592,gqa,17863592,ours_only_recovery,14,14,0,rows=0-23;cols=1-23,7.770,12,12,0,rows=0-23;cols=1-20,6.959,13,13,0,rows=12-23;cols=1-20,6.009,8,0.444444,7,0.350000,5,0.250000
GQA_08948215,gqa,08948215,ours_only_recovery,16,16,0,rows=1-22;cols=0-16,8.118,13,13,0,rows=5-22;cols=0-16,7.009,14,14,0,rows=6-20;cols=1-20,5.824,9,0.450000,2,0.071429,4,0.173913
GQA_09720875,gqa,09720875,ours_only_recovery,14,14,0,rows=1-21;cols=0-22,9.061,15,15,0,rows=1-21;cols=0-22,7.408,14,14,0,rows=1-22;cols=2-15,6.318,9,0.450000,5,0.217391,7,0.318182
GQA_08470583,gqa,08470583,ours_only_recovery,16,16,0,rows=0-20;cols=0-22,8.496,16,16,0,rows=0-20;cols=0-18,7.946,15,15,0,rows=6-20;cols=0-23,7.534,10,0.454545,6,0.240000,5,0.192308
POPE_random_455,pope,random_455,ours_only_recovery,17,17,0,rows=0-23;cols=1-21,9.186,15,15,0,rows=0-23;cols=1-22,9.420,16,16,0,rows=3-21;cols=4-22,8.004,10,0.454545,4,0.137931,7,0.291667
GQA_01332184,gqa,01332184,ours_only_recovery,12,12,0,rows=5-23;cols=0-22,8.580,16,16,0,rows=4-23;cols=0-23,7.873,16,16,0,rows=8-23;cols=2-20,5.999,9,0.473684,4,0.166667,4,0.142857
GQA_17150206,gqa,17150206,ours_only_recovery,13,13,0,rows=2-23;cols=1-22,8.335,15,15,0,rows=7-23;cols=6-22,7.141,14,14,0,rows=7-18;cols=2-22,6.695,9,0.473684,5,0.227273,9,0.450000
GQA_00665875,gqa,00665875,ours_only_recovery,15,15,0,rows=2-23;cols=4-22,9.802,16,16,0,rows=2-23;cols=0-22,8.716,16,16,0,rows=2-23;cols=0-23,8.400,10,0.476190,6,0.240000,8,0.333333
GQA_09730767,gqa,09730767,ours_only_recovery,16,16,0,rows=2-20;cols=0-23,8.538,15,15,0,rows=0-22;cols=0-23,8.633,14,14,0,rows=0-20;cols=5-23,8.611,10,0.476190,7,0.304348,5,0.208333
GQA_02756135,gqa,02756135,ours_only_recovery,17,17,0,rows=7-23;cols=0-23,7.515,16,16,0,rows=6-23;cols=0-23,7.012,17,17,0,rows=6-23;cols=0-23,7.323,11,0.500000,11,0.478261,11,0.500000
GQA_07848987,gqa,07848987,ours_only_recovery,16,16,0,rows=4-22;cols=2-23,7.739,17,17,0,rows=4-23;cols=2-20,7.074,16,16,0,rows=6-23;cols=4-18,6.021,11,0.500000,9,0.391304,8,0.320000
GQA_07886813,gqa,07886813,ours_only_recovery,17,17,0,rows=0-23;cols=0-20,6.850,16,16,0,rows=0-23;cols=0-20,6.818,17,17,0,rows=7-23;cols=0-19,6.034,11,0.500000,11,0.478261,6,0.222222
GQA_16208191,gqa,16208191,ours_only_recovery,16,16,0,rows=0-23;cols=5-23,8.058,17,17,0,rows=0-23;cols=0-23,8.438,16,16,0,rows=6-23;cols=5-23,6.434,11,0.500000,7,0.280000,9,0.375000
GQA_17298997,gqa,17298997,ours_only_recovery,14,14,0,rows=0-23;cols=1-20,8.699,16,16,0,rows=0-23;cols=0-23,9.066,14,14,0,rows=3-23;cols=0-23,7.819,10,0.500000,6,0.272727,8,0.363636
GQA_01192064,gqa,01192064,ours_only_recovery,17,17,0,rows=2-23;cols=0-21,7.137,15,15,0,rows=2-23;cols=3-23,8.036,14,14,0,rows=9-23;cols=0-21,6.863,11,0.523810,9,0.409091,5,0.208333
GQA_03992241,gqa,03992241,ours_only_recovery,16,16,0,rows=0-23;cols=1-21,9.607,16,16,0,rows=0-21;cols=0-20,9.350,15,15,0,rows=2-21;cols=0-21,7.587,11,0.523810,5,0.192308,6,0.240000
GQA_05831816,gqa,05831816,ours_only_recovery,16,16,0,rows=2-23;cols=0-22,9.291,16,16,0,rows=2-23;cols=0-22,9.047,14,14,0,rows=6-21;cols=4-22,6.858,11,0.523810,6,0.250000,8,0.363636
GQA_09614107,gqa,09614107,ours_only_recovery,17,17,0,rows=0-21;cols=0-23,10.095,15,15,0,rows=0-21;cols=0-22,9.363,13,13,0,rows=0-20;cols=2-22,8.901,11,0.523810,7,0.304348,8,0.400000
GQA_111042356,gqa,111042356,ours_only_recovery,16,16,0,rows=1-22;cols=0-22,8.318,16,16,0,rows=1-23;cols=0-22,7.896,16,16,0,rows=7-23;cols=4-18,4.834,11,0.523810,6,0.230769,7,0.280000
GQA_18951821,gqa,18951821,ours_only_recovery,17,17,0,rows=7-23;cols=6-23,6.551,15,15,0,rows=7-21;cols=1-23,7.430,15,15,0,rows=9-21;cols=4-23,6.842,11,0.523810,7,0.280000,7,0.304348
GQA_04763441,gqa,04763441,ours_only_recovery,15,15,0,rows=0-22;cols=1-22,9.293,14,14,0,rows=0-22;cols=1-22,8.484,14,14,0,rows=0-20;cols=1-23,7.296,10,0.526316,6,0.260870,6,0.272727
GQA_05481736,gqa,05481736,ours_only_recovery,16,16,0,rows=6-23;cols=4-20,7.753,13,13,0,rows=6-23;cols=4-20,6.950,14,14,0,rows=5-23;cols=5-23,7.014,10,0.526316,6,0.250000,5,0.227273
GQA_0331971,gqa,0331971,ours_only_recovery,12,12,0,rows=1-21;cols=1-22,8.102,14,14,0,rows=1-21;cols=1-22,7.996,14,14,0,rows=1-21;cols=5-22,5.903,9,0.529412,4,0.181818,6,0.272727
GQA_17786365,gqa,17786365,ours_only_recovery,16,16,0,rows=0-23;cols=4-21,7.849,15,15,0,rows=0-23;cols=4-22,8.085,17,17,0,rows=7-21;cols=7-22,6.198,11,0.550000,10,0.434783,8,0.333333
GQA_03472445,gqa,03472445,ours_only_recovery,14,14,0,rows=0-21;cols=0-23,8.469,14,14,0,rows=0-21;cols=0-23,7.877,15,15,0,rows=6-20;cols=0-21,7.486,10,0.555556,6,0.260870,8,0.380952
GQA_0348061,gqa,0348061,ours_only_recovery,14,14,0,rows=0-23;cols=0-20,10.605,14,14,0,rows=0-23;cols=0-20,10.108,14,14,0,rows=3-19;cols=0-23,8.784,10,0.555556,4,0.166667,3,0.120000
GQA_03104844,gqa,03104844,ours_only_recovery,12,12,0,rows=5-23;cols=1-20,6.268,13,13,0,rows=5-23;cols=1-20,7.649,15,15,0,rows=2-21;cols=0-23,8.219,9,0.562500,3,0.125000,5,0.217391
GQA_11283638,gqa,11283638,ours_only_recovery,11,11,0,rows=8-21;cols=0-20,7.976,14,14,0,rows=8-23;cols=0-20,8.037,13,13,0,rows=4-23;cols=0-20,7.571,9,0.562500,4,0.200000,6,0.285714
GQA_14768956,gqa,14768956,ours_only_recovery,17,17,0,rows=5-23;cols=0-19,6.223,16,16,0,rows=5-23;cols=2-19,5.974,17,17,0,rows=5-23;cols=0-15,4.255,12,0.571429,7,0.259259,8,0.320000
GQA_15418555,gqa,15418555,ours_only_recovery,17,17,0,rows=10-21;cols=3-23,6.417,16,16,0,rows=7-21;cols=3-18,5.592,17,17,0,rows=7-20;cols=4-23,6.025,12,0.571429,8,0.307692,6,0.222222
GQA_16581340,gqa,16581340,ours_only_recovery,17,17,0,rows=2-22;cols=3-23,8.399,16,16,0,rows=2-22;cols=3-23,7.842,17,17,0,rows=2-20;cols=2-23,7.413,12,0.571429,7,0.259259,9,0.375000
POPE_adversarial_54,pope,adversarial_54,ours_only_recovery,15,15,0,rows=0-21;cols=3-23,8.428,15,15,0,rows=0-20;cols=3-23,8.427,16,16,0,rows=0-19;cols=3-23,7.211,11,0.578947,6,0.240000,9,0.409091
GQA_06996662,gqa,06996662,ours_only_recovery,15,15,0,rows=2-23;cols=2-20,6.951,12,12,0,rows=2-21;cols=2-20,7.436,14,14,0,rows=2-23;cols=2-17,6.261,10,0.588235,9,0.450000,7,0.368421
POPE_adversarial_21,pope,adversarial_21,ours_only_recovery,14,14,0,rows=2-23;cols=6-20,7.969,13,13,0,rows=4-23;cols=6-20,7.244,14,14,0,rows=5-23;cols=7-18,6.727,10,0.588235,6,0.272727,6,0.285714
POPE_popular_21,pope,popular_21,ours_only_recovery,14,14,0,rows=2-23;cols=6-20,7.969,13,13,0,rows=4-23;cols=6-20,7.244,14,14,0,rows=5-23;cols=7-18,6.727,10,0.588235,6,0.272727,6,0.285714
POPE_random_20,pope,random_20,ours_only_recovery,14,14,0,rows=2-23;cols=6-20,7.969,13,13,0,rows=4-23;cols=6-20,7.244,14,14,0,rows=5-23;cols=7-18,6.727,10,0.588235,6,0.272727,6,0.285714
GQA_11714261,gqa,11714261,ours_only_recovery,16,16,0,rows=0-23;cols=5-20,7.806,16,16,0,rows=0-23;cols=5-21,7.937,16,16,0,rows=5-23;cols=5-22,6.450,12,0.600000,6,0.230769,6,0.230769
GQA_0820641,gqa,0820641,ours_only_recovery,15,15,0,rows=3-22;cols=5-20,6.653,14,14,0,rows=3-22;cols=0-19,7.073,15,15,0,rows=6-22;cols=3-23,7.277,11,0.611111,8,0.363636,6,0.260870
GQA_07949285,gqa,07949285,ours_only_recovery,16,16,0,rows=1-23;cols=0-20,7.222,15,15,0,rows=3-23;cols=0-20,6.859,12,12,0,rows=11-19;cols=1-20,4.153,12,0.631579,6,0.272727,5,0.227273
GQA_10518347,gqa,10518347,ours_only_recovery,16,16,0,rows=0-22;cols=0-23,8.378,12,12,0,rows=0-22;cols=0-21,8.215,16,16,0,rows=4-22;cols=2-21,7.113,11,0.647059,7,0.280000,6,0.272727
GQA_02205440,gqa,02205440,ours_only_recovery,17,17,0,rows=0-22;cols=1-23,9.578,17,17,0,rows=0-22;cols=0-23,10.095,17,17,0,rows=3-21;cols=0-23,9.304,14,0.700000,10,0.416667,10,0.416667
GQA_01878378,gqa,01878378,ours_only_recovery,17,17,0,rows=2-22;cols=0-22,8.680,16,16,0,rows=2-22;cols=0-22,9.358,15,15,0,rows=7-23;cols=2-22,7.827,14,0.736842,7,0.280000,7,0.291667
GQA_16196419,gqa,16196419,ours_only_recovery,15,15,0,rows=2-19;cols=0-22,7.734,15,15,0,rows=2-22;cols=0-22,8.311,15,15,0,rows=4-19;cols=1-20,7.054,13,0.764706,7,0.304348,7,0.304348
GQA_06122733,gqa,06122733,ours_only_recovery,13,13,0,rows=2-21;cols=0-20,8.483,15,15,0,rows=4-21;cols=1-20,6.271,16,16,0,rows=9-21;cols=1-20,5.887,4,0.166667,4,0.160000,9,0.409091
POPE_adversarial_358,pope,adversarial_358,ours_only_recovery,14,14,0,rows=1-23;cols=0-21,8.028,15,15,0,rows=2-23;cols=5-21,6.574,15,15,0,rows=2-21;cols=5-23,8.245,5,0.208333,4,0.160000,8,0.363636
POPE_popular_360,pope,popular_360,ours_only_recovery,14,14,0,rows=1-23;cols=0-21,8.028,15,15,0,rows=2-23;cols=5-21,6.574,15,15,0,rows=2-21;cols=5-23,8.245,5,0.208333,4,0.160000,8,0.363636
POPE_random_342,pope,random_342,ours_only_recovery,16,16,0,rows=2-23;cols=0-21,7.274,16,16,0,rows=2-23;cols=5-22,6.879,14,14,0,rows=2-21;cols=6-23,8.178,6,0.230769,6,0.250000,7,0.304348
GQA_111008682,gqa,111008682,ours_only_recovery,15,15,0,rows=7-22;cols=1-23,7.324,15,15,0,rows=1-23;cols=3-23,8.439,14,14,0,rows=9-22;cols=3-19,6.969,6,0.250000,6,0.260870,5,0.208333
GQA_00364759,gqa,00364759,ours_only_recovery,17,17,0,rows=8-23;cols=4-22,5.647,15,15,0,rows=3-22;cols=4-22,6.471,16,16,0,rows=3-23;cols=4-20,7.123,7,0.280000,6,0.222222,7,0.291667
GQA_12334219,gqa,12334219,ours_only_recovery,16,16,0,rows=0-23;cols=3-23,7.926,14,14,0,rows=0-23;cols=3-16,6.725,15,15,0,rows=8-23;cols=1-16,6.231,7,0.304348,7,0.291667,9,0.450000
GQA_04781051,gqa,04781051,ours_only_recovery,14,14,0,rows=4-23;cols=3-23,7.266,14,14,0,rows=4-23;cols=1-23,8.453,15,15,0,rows=4-21;cols=0-20,6.738,7,0.333333,6,0.260870,6,0.260870
GQA_00883150,gqa,00883150,ours_only_recovery,16,16,0,rows=0-22;cols=0-23,10.141,15,15,0,rows=0-22;cols=0-19,7.501,14,14,0,rows=0-20;cols=0-18,6.328,8,0.347826,5,0.200000,10,0.526316
GQA_02309173,gqa,02309173,ours_only_recovery,16,16,0,rows=2-21;cols=0-23,9.428,15,15,0,rows=3-23;cols=1-23,8.736,17,17,0,rows=2-23;cols=0-23,8.080,8,0.347826,7,0.269231,7,0.280000
GQA_06587004,gqa,06587004,ours_only_recovery,16,16,0,rows=1-21;cols=1-23,8.859,15,15,0,rows=1-23;cols=1-23,9.794,14,14,0,rows=1-23;cols=2-23,7.971,8,0.347826,5,0.200000,6,0.260870
GQA_10925224,gqa,10925224,ours_only_recovery,15,15,0,rows=2-23;cols=1-22,9.770,16,16,0,rows=3-23;cols=0-22,7.840,16,16,0,rows=9-21;cols=0-22,6.934,8,0.347826,6,0.240000,11,0.523810
GQA_04354321,gqa,04354321,ours_only_recovery,16,16,0,rows=0-23;cols=1-23,8.242,14,14,0,rows=0-22;cols=0-23,8.788,16,16,0,rows=7-23;cols=0-23,8.453,8,0.363636,5,0.185185,4,0.153846
GQA_19321644,gqa,19321644,ours_only_recovery,15,15,0,rows=3-21;cols=0-22,8.150,15,15,0,rows=3-23;cols=4-22,7.510,16,16,0,rows=6-23;cols=4-23,8.147,8,0.363636,5,0.192308,8,0.347826
GQA_06199707,gqa,06199707,ours_only_recovery,16,16,0,rows=2-23;cols=0-23,9.180,17,17,0,rows=2-23;cols=0-23,8.867,16,16,0,rows=2-23;cols=4-17,7.353,9,0.375000,5,0.185185,6,0.222222
GQA_09880084,gqa,09880084,ours_only_recovery,14,14,0,rows=9-23;cols=3-22,6.502,15,15,0,rows=6-23;cols=3-22,7.309,12,12,0,rows=2-23;cols=0-22,8.665,8,0.380952,3,0.130435,6,0.285714
GQA_06861548,gqa,06861548,ours_only_recovery,17,17,0,rows=0-23;cols=0-20,6.865,15,15,0,rows=0-23;cols=0-20,7.413,14,14,0,rows=7-23;cols=0-18,5.204,9,0.391304,7,0.291667,5,0.208333
GQA_08842779,gqa,08842779,ours_only_recovery,17,17,0,rows=0-20;cols=3-23,8.278,15,15,0,rows=0-23;cols=3-22,7.339,16,16,0,rows=6-23;cols=2-18,7.033,9,0.391304,6,0.222222,4,0.148148
POPE_adversarial_43,pope,adversarial_43,ours_only_recovery,14,14,0,rows=0-23;cols=0-22,9.565,10,10,0,rows=0-20;cols=0-20,9.217,13,13,0,rows=0-20;cols=0-20,8.640,7,0.411765,7,0.350000,8,0.533333
POPE_popular_43,pope,popular_43,ours_only_recovery,14,14,0,rows=0-23;cols=0-22,9.565,10,10,0,rows=0-20;cols=0-20,9.217,13,13,0,rows=0-20;cols=0-20,8.640,7,0.411765,7,0.350000,8,0.533333
GQA_101022616,gqa,101022616,ours_only_recovery,17,17,0,rows=0-21;cols=1-20,9.655,17,17,0,rows=0-23;cols=2-23,9.393,16,16,0,rows=0-20;cols=0-21,8.767,10,0.416667,6,0.222222,7,0.269231
GQA_13711591,gqa,13711591,ours_only_recovery,13,13,0,rows=1-23;cols=2-22,9.635,14,14,0,rows=1-23;cols=2-22,9.743,16,16,0,rows=2-23;cols=5-22,8.151,8,0.421053,5,0.208333,8,0.363636
GQA_08607019,gqa,08607019,ours_only_recovery,16,16,0,rows=0-21;cols=0-23,8.644,14,14,0,rows=0-21;cols=1-23,9.719,13,13,0,rows=6-20;cols=0-23,7.805,9,0.428571,4,0.160000,4,0.173913
GQA_04722449,gqa,04722449,ours_only_recovery,17,17,0,rows=0-21;cols=5-20,7.860,16,16,0,rows=0-21;cols=5-20,7.482,17,17,0,rows=8-21;cols=0-20,6.212,10,0.434783,8,0.307692,10,0.434783
GQA_15327538,gqa,15327538,ours_only_recovery,17,17,0,rows=1-22;cols=1-23,7.737,16,16,0,rows=1-22;cols=4-23,7.754,17,17,0,rows=3-22;cols=5-22,6.646,10,0.434783,6,0.214286,7,0.269231
GQA_19609252,gqa,19609252,ours_only_recovery,16,16,0,rows=11-23;cols=0-18,5.218,17,17,0,rows=11-23;cols=0-18,5.293,17,17,0,rows=11-20;cols=5-17,3.640,10,0.434783,9,0.375000,10,0.416667
GQA_19459620,gqa,19459620,ours_only_recovery,11,11,0,rows=0-23;cols=0-23,9.026,15,15,0,rows=0-23;cols=2-23,8.980,13,13,0,rows=7-23;cols=0-23,8.225,8,0.444444,4,0.200000,11,0.647059
