rank,expanded_case_id,dataset,question_id,image_id,image_path,local_image_path,prompt,ground_truth,dense_prediction,sparse_prediction,ours_prediction,threshold_prediction,dense_is_correct,is_sparse_wrong,is_ours_correct,is_threshold_correct,case_group,semantic_type,structural_type,detailed_type,pope_category,candidate_reason,selection_note
11,GQA_08721530,gqa,08721530,2379388,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2379388.jpg,data/kaggle_datasets/GQA/images/2379388.jpg,Is the metal fence in the bottom or in the top of the image?,bottom,Bottom,Top,Bottom,Top,True,True,True,False,ours_only_recovery,attr,choose,positionChoose,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
12,GQA_0711980,gqa,0711980,2374892,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2374892.jpg,data/kaggle_datasets/GQA/images/2374892.jpg,Are the books to the right of the person that sits at the desk?,yes,Yes,No,Yes,No,True,True,True,False,ours_only_recovery,rel,verify,relVerify,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
13,GQA_13708423,gqa,13708423,2384558,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2384558.jpg,data/kaggle_datasets/GQA/images/2384558.jpg,Which side is the red fruit on?,left,Left,Right,Left,Right,True,True,True,False,ours_only_recovery,attr,query,positionQuery,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
14,GQA_171019332,gqa,171019332,2344169,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2344169.jpg,data/kaggle_datasets/GQA/images/2344169.jpg,What color does the jacket the man is wearing have?,gray,Gray,White,Gray,White,True,True,True,False,ours_only_recovery,attr,query,directOf,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
15,GQA_13325336,gqa,13325336,2371245,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2371245.jpg,data/kaggle_datasets/GQA/images/2371245.jpg,What is the color of the sky?,white,White,Blue,White,Blue,True,True,True,False,ours_only_recovery,attr,query,directOf,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
16,GQA_00364708,gqa,00364708,2367770,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2367770.jpg,data/kaggle_datasets/GQA/images/2367770.jpg,Is the donut in the bottom part or in the top of the photo?,bottom,Bottom,Top,Bottom,Top,True,True,True,False,ours_only_recovery,attr,choose,positionChoose,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
17,GQA_05657295,gqa,05657295,2383798,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2383798.jpg,data/kaggle_datasets/GQA/images/2383798.jpg,Is the laptop to the left of the mouse?,yes,Yes,No,Yes,No,True,True,True,False,ours_only_recovery,rel,verify,relVerify,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
18,GQA_05755427,gqa,05755427,2400761,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2400761.jpg,data/kaggle_datasets/GQA/images/2400761.jpg,What is the train in front of?,trees,Trees,Smoke,Trees,Cars,True,True,True,False,ours_only_recovery,rel,query,relO,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
19,GQA_17723926,gqa,17723926,2348932,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2348932.jpg,data/kaggle_datasets/GQA/images/2348932.jpg,Which side is the curtain on?,left,Left,Right,Left,Right,True,True,True,False,ours_only_recovery,attr,query,positionQuery,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
20,GQA_09270639,gqa,09270639,2367964,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2367964.jpg,data/kaggle_datasets/GQA/images/2367964.jpg,What is the fruit to the right of the child that is not old?,orange,Orange,Banana,Orange,Banana,True,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
21,GQA_09107750,gqa,09107750,2391355,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2391355.jpg,data/kaggle_datasets/GQA/images/2391355.jpg,Is the tennis player on the left side of the picture?,yes,Yes,No,Yes,No,True,True,True,False,ours_only_recovery,attr,verify,positionVerify,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
22,GQA_14106572,gqa,14106572,2364895,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2364895.jpg,data/kaggle_datasets/GQA/images/2364895.jpg,What kind of place is pictured?,sidewalk,Sidewalk,Street,Sidewalk,Skate park,True,True,True,False,ours_only_recovery,global,query,place,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
23,GQA_121053041,gqa,121053041,2361696,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2361696.jpg,data/kaggle_datasets/GQA/images/2361696.jpg,Is the iron fence in the bottom part or in the top of the picture?,top,Top,Bottom,Top,Bottom,True,True,True,False,ours_only_recovery,attr,choose,positionChoose,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
24,GQA_1525400,gqa,1525400,2363859,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2363859.jpg,data/kaggle_datasets/GQA/images/2363859.jpg,What is the vegetable that is on top of the pizza with the veggies?,pepper,Pepper,Tomato,Pepper,Tomato,True,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
25,GQA_02988553,gqa,02988553,2386456,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2386456.jpg,data/kaggle_datasets/GQA/images/2386456.jpg,Does the zebra's nose have white color?,no,No,Yes,No,Yes,True,True,True,False,ours_only_recovery,attr,verify,verifyAttrKC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
26,GQA_041055575,gqa,041055575,2394320,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2394320.jpg,data/kaggle_datasets/GQA/images/2394320.jpg,On which side is the napkin?,right,Right,Left,Right,Left,True,True,True,False,ours_only_recovery,attr,query,positionQuery,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
27,GQA_04897435,gqa,04897435,2399886,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2399886.jpg,data/kaggle_datasets/GQA/images/2399886.jpg,Is the pastry to the right or to the left of the white plate?,left,Left,Right,Left,Right,True,True,True,False,ours_only_recovery,rel,choose,relChooser,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
28,GQA_06840857,gqa,06840857,2361881,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2361881.jpg,data/kaggle_datasets/GQA/images/2361881.jpg,Where is the can?,floor,Floor,On table,Floor,On microwave,True,True,True,False,ours_only_recovery,rel,query,relO,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
29,GQA_17829889,gqa,17829889,2400080,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2400080.jpg,data/kaggle_datasets/GQA/images/2400080.jpg,What is the shape of the speaker to the right of the other speaker?,round,Round,Square,Round,Square,True,True,True,False,ours_only_recovery,attr,query,directOf,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
30,GQA_19904667,gqa,19904667,2368905,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2368905.jpg,data/kaggle_datasets/GQA/images/2368905.jpg,How is the vehicle that is to the left of the person that is to the left of the glasses called?,truck,Truck,Car,Truck,Car,True,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
31,POPE_adversarial_287,pope,adversarial_287,COCO_val2014_000000329717.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,yes,no,yes,no,True,True,True,False,ours_only_recovery,,,,adversarial,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
32,POPE_popular_287,pope,popular_287,COCO_val2014_000000329717.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,yes,no,yes,no,True,True,True,False,ours_only_recovery,,,,popular,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
33,POPE_random_272,pope,random_272,COCO_val2014_000000329717.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000329717.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000329717.jpg,Is there a handbag in the image?,yes,yes,no,yes,no,True,True,True,False,ours_only_recovery,,,,random,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
34,GQA_12977439,gqa,12977439,2322438,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2322438.jpg,data/kaggle_datasets/GQA/images/2322438.jpg,What is in front of the wood wall?,bed,Bed,Lamp,Bed,Lamp,True,True,True,False,ours_only_recovery,rel,query,relS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
35,GQA_13904299,gqa,13904299,498121,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/498121.jpg,data/kaggle_datasets/GQA/images/498121.jpg,Is the yellow bag to the right of a man?,no,No,Yes,No,Yes,True,True,True,False,ours_only_recovery,rel,verify,relVerifyCr,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
36,POPE_random_46,pope,random_46,COCO_val2014_000000461331.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000461331.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000461331.jpg,Is there a laptop in the image?,no,no,yes,no,yes,True,True,True,False,ours_only_recovery,,,,random,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
37,GQA_09638418,gqa,09638418,2341268,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2341268.jpg,data/kaggle_datasets/GQA/images/2341268.jpg,Is the bike on the right of the picture?,no,No,Yes,No,Yes,True,True,True,False,ours_only_recovery,attr,verify,positionVerifyC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
38,GQA_181002748,gqa,181002748,2397825,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2397825.jpg,data/kaggle_datasets/GQA/images/2397825.jpg,On which side of the image is the girl?,right,Right,Left,Right,Left,True,True,True,False,ours_only_recovery,attr,query,positionQuery,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
39,GQA_03948744,gqa,03948744,2358903,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2358903.jpg,data/kaggle_datasets/GQA/images/2358903.jpg,What vegetable is to the right of the pepper?,tomato,Tomato,Lettuce,Tomato,Lettuce,True,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
40,GQA_08591059,gqa,08591059,2410307,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2410307.jpg,data/kaggle_datasets/GQA/images/2410307.jpg,What type of device is to the right of the coffee cup?,phone,Phone,Television,Phone,Television,True,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
41,GQA_12889581,gqa,12889581,2397488,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2397488.jpg,data/kaggle_datasets/GQA/images/2397488.jpg,Is the woman to the left or to the right of the vehicle that the bicycle is in front of?,left,Left,Right,Left,Right,True,True,True,False,ours_only_recovery,rel,choose,relChooser,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
42,GQA_12517931,gqa,12517931,2413202,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2413202.jpg,data/kaggle_datasets/GQA/images/2413202.jpg,Are the pants black or tan?,tan,Tan,Black,Tan,Black,True,True,True,False,ours_only_recovery,attr,choose,chooseAttr,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
43,GQA_17863592,gqa,17863592,2399389,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2399389.jpg,data/kaggle_datasets/GQA/images/2399389.jpg,Is the tomato to the right of a plate?,no,No,Yes,No,Yes,True,True,True,False,ours_only_recovery,rel,verify,relVerifyCr,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
44,GQA_08948215,gqa,08948215,2343937,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2343937.jpg,data/kaggle_datasets/GQA/images/2343937.jpg,Does the fire hydrant have a different color than the chain?,yes,Yes,No,Yes,No,True,True,True,False,ours_only_recovery,attr,compare,twoDifferent,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
45,GQA_09720875,gqa,09720875,2368297,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2368297.jpg,data/kaggle_datasets/GQA/images/2368297.jpg,Do you see any shelves to the left of the clock in the top of the image?,yes,Yes,No,Yes,No,True,True,True,False,ours_only_recovery,rel,verify,existRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
46,GQA_08470583,gqa,08470583,2386200,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2386200.jpg,data/kaggle_datasets/GQA/images/2386200.jpg,What is the name of the watercraft in the still water?,sailboat,Sailboat,Boats,Sailboat,Boats,True,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
47,POPE_random_455,pope,random_455,COCO_val2014_000000332625.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000332625.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000332625.jpg,Is there an airplane in the imange?,yes,yes,no,yes,no,True,True,True,False,ours_only_recovery,,,,random,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
48,GQA_01332184,gqa,01332184,2385859,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2385859.jpg,data/kaggle_datasets/GQA/images/2385859.jpg,Is the watch black?,no,No,Yes,No,Yes,True,True,True,False,ours_only_recovery,attr,verify,verifyAttrC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
49,GQA_17150206,gqa,17150206,2381387,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2381387.jpg,data/kaggle_datasets/GQA/images/2381387.jpg,Is the sign the same color as the fence?,yes,Yes,No,Yes,No,True,True,True,False,ours_only_recovery,attr,compare,twoSame,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
50,GQA_00665875,gqa,00665875,2317322,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2317322.jpg,data/kaggle_datasets/GQA/images/2317322.jpg,How is the vegetable that is lying on top of the plate called?,potato,Potato,Carrot,Potato,Carrot,True,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
51,GQA_09730767,gqa,09730767,2358122,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2358122.jpg,data/kaggle_datasets/GQA/images/2358122.jpg,He is where?,carriage,Carriage,Road,Carriage,Road,True,True,True,False,ours_only_recovery,rel,query,relO,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
52,GQA_02756135,gqa,02756135,2376625,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2376625.jpg,data/kaggle_datasets/GQA/images/2376625.jpg,Is the horse in the bottom of the image?,no,No,Yes,No,Yes,True,True,True,False,ours_only_recovery,attr,verify,positionVerifyC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
53,GQA_07848987,gqa,07848987,2340585,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2340585.jpg,data/kaggle_datasets/GQA/images/2340585.jpg,What is the vegetable that is lying on top of the white object that is sitting on top of the table?,cucumber,Cucumber,Tomato,Cucumber,Lemon,True,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
54,GQA_07886813,gqa,07886813,85,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/85.jpg,data/kaggle_datasets/GQA/images/85.jpg,Which color is the television that is in the middle of the picture?,gray,Gray,Silver,Gray,Silver,True,True,True,False,ours_only_recovery,attr,query,directWhich,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
55,GQA_16208191,gqa,16208191,2338510,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2338510.jpg,data/kaggle_datasets/GQA/images/2338510.jpg,What type of appliance is on the counter?,microwave,Microwave,Refrigerator,Microwave,Refrigerator,True,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
56,GQA_17298997,gqa,17298997,2390690,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2390690.jpg,data/kaggle_datasets/GQA/images/2390690.jpg,Is the motorcycle on the right?,no,No,Yes,No,Yes,True,True,True,False,ours_only_recovery,attr,verify,positionVerifyC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
57,GQA_01192064,gqa,01192064,2362126,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2362126.jpg,data/kaggle_datasets/GQA/images/2362126.jpg,"On which side is the man, the right or the left?",right,Right,Left,Right,Left,True,True,True,False,ours_only_recovery,attr,choose,positionChoose,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
58,GQA_03992241,gqa,03992241,4101,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/4101.jpg,data/kaggle_datasets/GQA/images/4101.jpg,Is the chair in the bottom or in the top part of the image?,bottom,Bottom,Top,Bottom,Top,True,True,True,False,ours_only_recovery,attr,choose,positionChoose,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
59,GQA_05831816,gqa,05831816,2410522,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2410522.jpg,data/kaggle_datasets/GQA/images/2410522.jpg,What material makes up the utensil to the right of the food?,plastic,Plastic,Metal,Plastic,Metal,True,True,True,False,ours_only_recovery,attr,query,material,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
60,GQA_09614107,gqa,09614107,2400609,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2400609.jpg,data/kaggle_datasets/GQA/images/2400609.jpg,"In which part of the photo are the people, the top or the bottom?",bottom,Bottom,Top,Bottom,Top,True,True,True,False,ours_only_recovery,attr,choose,positionChoose,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
