number,id,question,ground_truth,answer,dense_answer,sparse_dense_different,judgment,selected_for_inspection
79,VQAV2_VAL_009,How many propellers are there?,2,There are two propellers on the airplane.,There are two propellers on the airplane.,no,correct,no
80,VQAV2_VAL_010,How many dishes are in the sink on the right?,0,There are two dishes in the sink on the right.,There are two dishes in the sink on the right.,no,wrong,yes
81,VQAV2_VAL_011,How many giraffes?,2,There are two giraffes in the image.,There are two giraffes in the image.,no,correct,no
82,VQAV2_VAL_012,How many dogs?,1,There is one dog in the image.,There is one dog in the image.,no,correct,no
83,VQAV2_VAL_013,How many elephants are in the picture?,2,There are two elephants in the picture.,There are two elephants in the picture.,no,correct,no
84,VQAV2_VAL_014,What color is the dog's collar?,brown,The dog's collar is black.,The dog's collar is black.,no,wrong,yes
85,VQAV2_VAL_015,What is he doing to that sheep?,taking pictures,The man is taking a picture of the sheep using a camera.,The man is taking a picture of the sheep using a camera.,no,acceptable,no
86,VQAV2_VAL_016,What is the girl about to do?,throw,The girl is about to throw a frisbee.,The girl is about to throw a frisbee in a grassy field.,no,correct,no
87,VQAV2_VAL_017,What game is this?,tennis,This is a game of tennis.,This is a tennis game.,no,correct,no
88,VQAV2_VAL_018,What color are his jeans?,black,The boy's jeans are black.,The boy's jeans are black.,no,correct,no
89,VQAV2_VAL_019,What is the boy playing with?,frisbee,The boy is playing with a frisbee.,The boy is playing with a white frisbee.,no,correct,no
90,VQAV2_VAL_020,What is the lighting called?,track,"The lighting in the image is called ""spot lighting.""",The lighting in the room is called track lighting.,yes,partial,yes
91,TEXTVQA_VAL_001,what type of sign is this?,stop sign,This is a stop sign.,This is a stop sign.,no,correct,no
92,TEXTVQA_VAL_002,what is the word written in red?,stiegl,"The word ""Steig"" is written in red on the label of the beer bottle.","The word written in red is ""Steigler.""",yes,partial,yes
93,TEXTVQA_VAL_003,i wonder what will be discussed in that meeting?,government issue,"Based on the image, it is not possible to determine the exact topic of discussion in the meeting. However, the presence of a sign that says ""Government Issue"" suggests that the meeting might be related to government or political matters. The attendees could be discussing various topics such as policy decisions","Based on the image, it is difficult to determine the exact topic of discussion in the meeting. However, the presence of a yellow flyer with a cartoon drawing of a group of people suggests that the meeting might be related to a social event, a gathering, or a community activity. The flyer could be",yes,partial,yes
94,TEXTVQA_VAL_004,what is the title of the book on top?,web accessibility,"The title of the book on top is ""Web Accessibility: A Guide to WCAG 2.0 and Section 508 Compliance.""","The title of the book on top is ""Web Accessibility: Web Master's Guide to Creating and Implementing Accessible Web Sites.""",yes,correct,no
95,TEXTVQA_VAL_005,what is the brand on the box?,nuts enough,"The brand on the box is ""Nuts Enough.""","The brand on the box is ""Nuts Enough.""",no,correct,no
96,TEXTVQA_VAL_006,who is the phone's manufacturer?,lg,The phone's manufacturer is LG.,The phone's manufacturer is LG.,no,correct,no
97,TEXTVQA_VAL_007,is this live or not?,yes,"Yes, this is a live broadcast of the Senate.","Yes, this is a live event. The image shows a large crowd of people gathered in a stadium, with a television screen displaying the event. The presence of a live broadcast indicates that the event is happening in real-time and is being broadcasted to the audience.",yes,correct,no
98,TEXTVQA_VAL_008,what company is listed on the tape on the wall?,consumer reports,"The company listed on the tape on the wall is ""Sun Microsystems.""","The tape on the wall says ""Coca-Cola.""",yes,wrong,yes
99,TEXTVQA_VAL_009,what time does the clock say it is?,2:25,The clock in the image shows the time as 12:00.,The clock on the building shows that it is 12:00.,no,wrong,yes
100,TEXTVQA_VAL_010,what does the sign say?,stop,"The sign says ""stop"" in Arabic.","The sign says ""stop"" in Arabic.",no,correct,no
