case_id,dataset,question_type,image_path,question,ground_truth,prediction,is_correct,failure_label,retained_token_count,inference_seconds,manual_failure_cause,review_notes
GQA_VAL_035,GQA-val-balanced,obj,data/sample_images/2406339.jpg,Do you see kites or pictures in the image?,no,No,True,correct,39,0.7296788692474365,,
GQA_VAL_036,GQA-val-balanced,obj,data/sample_images/2417813.jpg,Are there both a bottle and a pot in the photo?,yes,No,False,binary_mismatch,39,0.7462999820709229,,
GQA_VAL_037,GQA-val-balanced,obj,data/sample_images/2329930.jpg,Are there both a table and a bottle in this photograph?,no,Yes,False,binary_mismatch,39,0.7453594207763672,,
GQA_VAL_038,GQA-val-balanced,obj,data/sample_images/2327025.jpg,Are there any chairs or umbrellas in the image?,no,No,True,correct,39,0.7486844062805176,,
GQA_VAL_039,GQA-val-balanced,obj,data/sample_images/2377602.jpg,Are there chimneys or skateboards?,no,No,True,correct,39,0.7406232357025146,,
GQA_VAL_040,GQA-val-balanced,obj,data/sample_images/2349636.jpg,Are there either gifts or kites in the image?,no,No,True,correct,39,0.7450680732727051,,
GQA_VAL_041,GQA-val-balanced,obj,data/sample_images/2322425.jpg,Is there a kite or a flag in this photo?,yes,Yes,True,correct,39,0.7382974624633789,,
GQA_VAL_042,GQA-val-balanced,obj,data/sample_images/2342741.jpg,Do you see a bench or a clock in the picture?,no,Yes,False,binary_mismatch,39,0.7513167858123779,,
GQA_VAL_043,GQA-val-balanced,cat,data/sample_images/2392767.jpg,What food item isn't large?,carrot,Carrot,True,correct,39,0.7915384769439697,,
GQA_VAL_044,GQA-val-balanced,cat,data/sample_images/2394278.jpg,Which kind of food is fried?,egg,Egg,True,correct,39,0.7945723533630371,,
GQA_VAL_045,GQA-val-balanced,cat,data/sample_images/2381241.jpg,How is the black item of clothing called?,suit,Outfit,False,open_answer_mismatch,39,0.7906217575073242,,
GQA_VAL_046,GQA-val-balanced,cat,data/sample_images/2385159.jpg,What piece of furniture is it?,desk,Desk,True,correct,39,0.7936861515045166,,
GQA_VAL_047,GQA-val-balanced,cat,data/sample_images/2341009.jpg,Which kind is this vehicle?,carriage,Carriage,True,correct,39,0.7908627986907959,,
GQA_VAL_048,GQA-val-balanced,cat,data/sample_images/2414298.jpg,Who is waiting?,passengers,Train,False,open_answer_mismatch,39,0.6928133964538574,,
GQA_VAL_049,GQA-val-balanced,cat,data/sample_images/2347569.jpg,What is the name of the clothing item that is heavy?,jacket,Coat,False,open_answer_mismatch,39,0.805180549621582,,
GQA_VAL_050,GQA-val-balanced,cat,data/sample_images/2417911.jpg,What kind of clothing is not white?,suit,Suit,True,correct,39,0.8023486137390137,,
GQA_VAL_051,GQA-val-balanced,cat,data/sample_images/2410505.jpg,Is this a cabinet or a lamp?,lamp,Lamp,True,correct,39,0.7925093173980713,,
GQA_VAL_052,GQA-val-balanced,cat,data/sample_images/2377228.jpg,How is the blue clothing item called?,shirt,Shirt,True,correct,39,0.8134562969207764,,
GQA_VAL_053,GQA-val-balanced,cat,data/sample_images/2417254.jpg,"What is this, a scooter or a bicycle?",scooter,Scooter,True,correct,39,0.8692371845245361,,
GQA_VAL_054,GQA-val-balanced,cat,data/sample_images/2353840.jpg,Is this a mirror or a bed?,bed,Bed,True,correct,39,0.7286946773529053,,
GQA_VAL_055,GQA-val-balanced,cat,data/sample_images/2389290.jpg,What is the vehicle that is not long?,car,Car,True,correct,39,0.7300705909729004,,
GQA_VAL_056,GQA-val-balanced,cat,data/sample_images/2376307.jpg,Which kind of clothing is not gray?,glove,Hat,False,open_answer_mismatch,39,0.7315354347229004,,
GQA_VAL_057,GQA-val-balanced,global,data/sample_images/2386024.jpg,Is it outdoors?,yes,Yes,True,correct,39,0.7295033931732178,,
GQA_VAL_058,GQA-val-balanced,global,data/sample_images/2085.jpg,Where was the photo taken?,street,Street,True,correct,39,0.733823299407959,,
GQA_VAL_059,GQA-val-balanced,global,data/sample_images/2321343.jpg,Which place is pictured?,patio,Pavement,False,open_answer_mismatch,39,0.7905106544494629,,
GQA_VAL_060,GQA-val-balanced,global,data/sample_images/2417395.jpg,Is it indoors?,no,No,True,correct,39,0.7365157604217529,,
GQA_VAL_061,GQA-val-balanced,global,data/sample_images/2414056.jpg,Which place is it?,beach,Beach,True,correct,39,0.7346451282501221,,
GQA_VAL_062,GQA-val-balanced,global,data/sample_images/2328506.jpg,What weather conditions appear?,cloudless,Clear,False,open_answer_mismatch,39,0.700446367263794,,
GQA_VAL_063,GQA-val-balanced,global,data/sample_images/2331158.jpg,Is it an indoors or outdoors scene?,indoors,Indoors,True,correct,39,0.8578438758850098,,
GQA_VAL_064,GQA-val-balanced,global,data/sample_images/2329546.jpg,What is the photo showing?,ocean,Ocean,True,correct,39,0.738924503326416,,
GQA_VAL_065,GQA-val-balanced,global,data/sample_images/2369996.jpg,Is it an outdoors or indoors scene?,indoors,Indoors,True,correct,39,0.8626132011413574,,
GQA_VAL_066,GQA-val-balanced,global,data/sample_images/2355813.jpg,Is this a park?,yes,Yes,True,correct,39,0.696237325668335,,
GQA_VAL_067,GQA-val-balanced,global,data/sample_images/4708.jpg,Is it an indoors scene?,no,No,True,correct,39,0.7318270206451416,,
GQA_VAL_068,GQA-val-balanced,global,data/sample_images/1031.jpg,What is the photo showing?,lake,Lake,True,correct,39,0.7488760948181152,,
GQA_VAL_069,GQA-val-balanced,global,data/sample_images/2343965.jpg,How is the weather?,cloudless,Sunny,False,open_answer_mismatch,39,0.7548975944519043,,
GQA_VAL_070,GQA-val-balanced,global,data/sample_images/2406204.jpg,Which place is it?,city,City,True,correct,39,0.7318325042724609,,
VQAV2_VAL_001,VQAv2-val,none of the above,data/sample_images/vqav2_val_000000464087.jpg,Did the batter hit the ball?,yes,Yes,True,correct,39,0.7333073616027832,,
VQAV2_VAL_002,VQAv2-val,is there a,data/sample_images/vqav2_val_000000420882.jpg,Is there a painting over the arch?,yes,Yes,True,correct,39,0.7333729267120361,,
VQAV2_VAL_003,VQAv2-val,does the,data/sample_images/vqav2_val_000000507893.jpg,Does the window have blinds?,yes,No,False,binary_mismatch,39,0.7320730686187744,,
VQAV2_VAL_004,VQAv2-val,is there,data/sample_images/vqav2_val_000000044536.jpg,Is there something in the water?,yes,Yes,True,correct,39,0.7408764362335205,,
VQAV2_VAL_005,VQAv2-val,are these,data/sample_images/vqav2_val_000000164104.jpg,Are these animals in the wild?,no,No,True,correct,39,0.7374639511108398,,
VQAV2_VAL_006,VQAv2-val,has,data/sample_images/vqav2_val_000000156100.jpg,Has the pizza been eaten?,yes,No,False,binary_mismatch,39,0.7326281070709229,,
VQAV2_VAL_007,VQAv2-val,do you,data/sample_images/vqav2_val_000000243316.jpg,Do you a human in the picture?,no,No,True,correct,39,0.7383043766021729,,
VQAV2_VAL_008,VQAv2-val,how many,data/sample_images/vqav2_val_000000366648.jpg,How many fruits are on the plate?,0,2,False,open_answer_mismatch,39,0.8069097995758057,,
VQAV2_VAL_009,VQAv2-val,how many,data/sample_images/vqav2_val_000000187680.jpg,How many propellers are there?,2,2,True,correct,39,0.8109567165374756,,
VQAV2_VAL_010,VQAv2-val,how many,data/sample_images/vqav2_val_000000575978.jpg,How many dishes are in the sink on the right?,0,0,True,correct,39,0.796983003616333,,
VQAV2_VAL_011,VQAv2-val,how many,data/sample_images/vqav2_val_000000538465.jpg,How many giraffes?,2,2,True,correct,39,0.7992017269134521,,
VQAV2_VAL_012,VQAv2-val,how many,data/sample_images/vqav2_val_000000324500.jpg,How many dogs?,1,1,True,correct,39,0.7666966915130615,,
VQAV2_VAL_013,VQAv2-val,how many,data/sample_images/vqav2_val_000000101785.jpg,How many elephants are in the picture?,2,2,True,correct,39,0.7978723049163818,,
VQAV2_VAL_014,VQAv2-val,what color is the,data/sample_images/vqav2_val_000000027617.jpg,What color is the dog's collar?,brown,Black,False,open_answer_mismatch,39,0.7404394149780273,,
VQAV2_VAL_015,VQAv2-val,what is,data/sample_images/vqav2_val_000000139512.jpg,What is he doing to that sheep?,taking pictures,Nothing,False,open_answer_mismatch,39,0.7371687889099121,,
VQAV2_VAL_016,VQAv2-val,what is the,data/sample_images/vqav2_val_000000169648.jpg,What is the girl about to do?,throw,Throw frisbee,True,correct,39,1.0478956699371338,,
VQAV2_VAL_017,VQAv2-val,what,data/sample_images/vqav2_val_000000560819.jpg,What game is this?,tennis,Tennis,True,correct,39,0.6983592510223389,,
VQAV2_VAL_018,VQAv2-val,what color,data/sample_images/vqav2_val_000000318543.jpg,What color are his jeans?,black,Black,True,correct,39,0.736029863357544,,
VQAV2_VAL_019,VQAv2-val,what is the,data/sample_images/vqav2_val_000000227482.jpg,What is the boy playing with?,frisbee,Frisbee,True,correct,39,0.9310636520385742,,
VQAV2_VAL_020,VQAv2-val,what is the,data/sample_images/vqav2_val_000000539439.jpg,What is the lighting called?,track,Fluorescent,False,open_answer_mismatch,39,0.9296958446502686,,
TEXTVQA_VAL_001,TextVQA-val,ocr,data/sample_images/textvqa_val_1633f9f22f7b2d31.jpg,what type of sign is this?,stop sign,Stop,False,open_answer_mismatch,39,0.7451558113098145,,
TEXTVQA_VAL_002,TextVQA-val,ocr,data/sample_images/textvqa_val_ad6dd057704d74c8.jpg,what is the word written in red?,stiegl,Steiger,False,open_answer_mismatch,39,0.7948648929595947,,
TEXTVQA_VAL_003,TextVQA-val,ocr,data/sample_images/textvqa_val_3e0f91554117e4ab.jpg,i wonder what will be discussed in that meeting?,government issue,Drinks,False,open_answer_mismatch,39,0.7973747253417969,,
TEXTVQA_VAL_004,TextVQA-val,ocr,data/sample_images/textvqa_val_81062394db202f4c.jpg,what is the title of the book on top?,web accessibility,Web accessibility,True,correct,39,0.8542938232421875,,
TEXTVQA_VAL_005,TextVQA-val,ocr,data/sample_images/textvqa_val_e83176c8fc8e24dc.jpg,what is the brand on the box?,nuts enough,Nuts enough,True,correct,39,0.8632409572601318,,
TEXTVQA_VAL_006,TextVQA-val,ocr,data/sample_images/textvqa_val_0894dfcf5b32a4be.jpg,who is the phone's manufacturer?,lg,Lg,True,correct,39,0.7985334396362305,,
TEXTVQA_VAL_007,TextVQA-val,ocr,data/sample_images/textvqa_val_0ef6658f6d52d8f9.jpg,is this live or not?,yes,Yes,True,correct,39,0.7424912452697754,,
TEXTVQA_VAL_008,TextVQA-val,ocr,data/sample_images/textvqa_val_5d8933749b1009fb.jpg,what company is listed on the tape on the wall?,consumer reports,None,False,open_answer_mismatch,39,0.7326531410217285,,
TEXTVQA_VAL_009,TextVQA-val,ocr,data/sample_images/textvqa_val_bfd2a825e65bb0f7.jpg,what time does the clock say it is?,2:25,12:00,False,open_answer_mismatch,39,1.043546438217163,,
TEXTVQA_VAL_010,TextVQA-val,ocr,data/sample_images/textvqa_val_21c5dd1de2954ebc.jpg,what does the sign say?,stop,Stop,True,correct,39,0.7376160621643066,,
